"","period","target","income","prices","fprices","exports","imports","xrate","rprices","consump","cacc","new_rprices","nom_income","cacc1","intra","extra","fincome"
"1","1992","Austria","229.0389","77.3237837","72.8496086","64.6547","71.357","1.033182416","99.0962254","179.2045","-2.4513977","103.2560107","150.786","-3.65839","23.0064","11.20445",11.9387035082717
"2","1993","Austria","230.2455","81.0222309","76.6456032","63.1204","67.4399","0.990080158","105.07806","181.0847","-1.3893681","102.9447207","162.5404","-2.23508","22.0722","11.798",11.9408432686285
"3","1994","Austria","235.7763","82.7737742","78.0654979","66.7107","74.4075","0.983961105","107.4481926","185.2165","-2.9137826","103.6198813","171.7086","-4.95181","24.0513","13.80372",11.9503923299751
"4","1995","Austria","242.0667","86.4385745","81.2336919","71.5175","78.8011","0.958002369","109.2911472","187.6616","-2.5544601","103.6198922","184.3511","-4.70917","29.0358","14.8997",11.9763149424008
"5","1996","Austria","247.7542","85.5685579","81.6183548","74.8348","82.0878","0.976323191","104.3698224","192.2796","-2.8075903","102.4325233","186.9677","-5.24929","29.4046","16.1779",12.0070787053427
"6","1997","Austria","252.9412","83.7175381","80.7252711","83.0875","88.0558","1.00462926","100.9551021","194.2369","-2.500904","101.0348305","187.8541","-4.69805","32.6914","20.027",12.0178972057478
"7","1998","Austria","262.0001","83.4594892","80.7810324","89.6111","93.1257","1.006845781","100.9572255","199.9364","-1.9980992","101.4602647","195.0116","-3.89653","36.686","20.4769",12.007193871192
"8","1999","Austria","271.3177","84.1186849","81.8326826","95.3766","96.9102","1","99.2497115","205.2158","-2.3630053","100.7638693","203.8506","-4.817","45.1703","16.8122",12.0056873418029
"9","2000","Austria","280.4766","85.513443","84.0453857","108.2759","106.7817","1","97.0277573","210.0125","-0.6893517","100.3562662","213.6065","-1.4725","52.3236","20.9879",12.0334892453989
"10","2001","Austria","284.0307","85.9142804","84.2612264","114.5245","112.3262","1","96.7063781","211.8037","-0.8427159","101.2891103","220.5251","-1.8584","56.2811","22.7174",12.0378118104456
"11","2002","Austria","288.7216","86.0354992","83.7858312","119.4333","112.6528","1","95.1413693","213.3115","2.0761221","102.2139726","226.7352","4.7073","59.2475","23.9515",12.0388327631834
"12","2003","Austria","291.4398","86.0695747","83.1513714","120.0681","116.604","1","95.2437142","216.6271","1.5277592","103.2831507","231.8625","3.5423","61.6493","24.2296",12.054247063733
"13","2004","Austria","299.4111","87.0577845","84.5503897","130.4672","125.9034","1","94.3204316","221.214","1.8796091","102.7398817","242.3483","4.5552","67.2055","27.9594",12.0763370661589
"14","2005","Austria","306.1301","88.7668713","86.9055584","139.163","132.7715","1","94.4385146","226.1948","2.0275507","101.9738665","254.075","5.1515","69.5453","31.0754",12.0946472755821
"15","2006","Austria","316.7039","90.9557411","90.0340767","149.7062","140.5446","1","95.2806123","231.6311","2.8023954","101.1064526","267.8245","7.5055","75.6154","33.2978",12.1089813750418
"16","2007","Austria","328.5088","92.6848641","92.1426633","161.0417","148.4643","1","94.9902707","234.3687","3.3366673","100.9271163","283.978","9.4754","83.9039","35.4835",12.1241009682571
"17","2008","Austria","333.3064","95.0694976","95.6950523","164.5374","149.881","1","96.4916116","238.277","4.2225692","99.1304195","293.7619","12.4043","86.6902","36.5685",12.1124655346137
"18","2009","Austria","320.7588","92.4205204","91.3014868","140.8965","132.0464","1","97.5907689","241.341","2.3547443","101.930396","288.044","6.7827","68.4402","29.7736",12.0550723005164
"19","2010","Austria","326.6515","95.1600995","95.5777097","159.3977","147.8517","1","97.7767123","243.081","3.3309942","100.1773519","295.8966","9.8563","79.6039","35.4749",12.0944767832178
