ect_x,tech,reporter,year,ect_m
,HIGH,Austria,1992,
,HIGH,Finland,1992,
,HIGH,France,1992,
,HIGH,Germany,1992,
,HIGH,Greece,1992,
,HIGH,Italy,1992,
,HIGH,Netherlands,1992,
,HIGH,Portugal,1992,
,HIGH,Spain,1992,
,LOW,Austria,1992,
,LOW,Finland,1992,
,LOW,France,1992,
,LOW,Germany,1992,
,LOW,Greece,1992,
,LOW,Italy,1992,
,LOW,Netherlands,1992,
,LOW,Portugal,1992,
,LOW,Spain,1992,
,MED,Austria,1992,
,MED,Finland,1992,
,MED,France,1992,
,MED,Germany,1992,
,MED,Greece,1992,
,MED,Italy,1992,
,MED,Netherlands,1992,
,MED,Portugal,1992,
,MED,Spain,1992,
,PRIM,Austria,1992,
,PRIM,Finland,1992,
,PRIM,France,1992,
,PRIM,Germany,1992,
,PRIM,Greece,1992,
,PRIM,Italy,1992,
,PRIM,Netherlands,1992,
,PRIM,Portugal,1992,
,PRIM,Spain,1992,
,RES,Austria,1992,
,RES,Finland,1992,
,RES,France,1992,
,RES,Germany,1992,
,RES,Greece,1992,
,RES,Italy,1992,
,RES,Netherlands,1992,
,RES,Portugal,1992,
,RES,Spain,1992,
-59.2864427022417,MED,Netherlands,2010,-69.9215461812093
-59.1077703759606,MED,Netherlands,2004,-69.4876326405745
-59.0002535967485,MED,Netherlands,2011,-69.5838251247135
-58.9281597254763,MED,Netherlands,2005,-69.2543675590199
-58.9233149547979,MED,Netherlands,2012,-69.5205658263446
-58.9170520080701,MED,Netherlands,1996,-69.1236756502685
-58.8874467941435,MED,Netherlands,2003,-69.1892202766808
-58.8482804301794,MED,Netherlands,2009,-69.2856103397971
-58.8478949428675,MED,Netherlands,2013,-69.4176054814833
-58.815592870974,MED,Netherlands,2014,-69.3884988741859
-58.7450282374647,MED,Netherlands,1995,-68.8572319413063
-58.7173144622118,MED,Netherlands,2006,-69.0062690547771
-58.7024446113055,MED,Netherlands,1994,-68.7529241145664
-58.6831668507728,MED,Netherlands,2015,-69.1783667675695
-58.6572133377367,MED,Netherlands,2019,-69.1318539097951
-58.6365057916193,MED,Netherlands,2018,-69.0906475318583
-58.6002727415555,MED,Netherlands,2007,-68.8432968219729
-58.5924584212186,MED,Netherlands,2017,-68.9921007282617
-58.5869736599183,MED,Netherlands,2008,-68.9277946988975
-58.5231670226678,MED,Netherlands,2002,-68.6785365728678
