ect_x,tech,reporter,year,ect_m
,HIGH,Austria,1992,
,HIGH,Finland,1992,
,HIGH,France,1992,
,HIGH,Germany,1992,
,HIGH,Greece,1992,
,HIGH,Italy,1992,
,HIGH,Netherlands,1992,
,HIGH,Portugal,1992,
,HIGH,Spain,1992,
,LOW,Austria,1992,
,LOW,Finland,1992,
,LOW,France,1992,
,LOW,Germany,1992,
,LOW,Greece,1992,
,LOW,Italy,1992,
,LOW,Netherlands,1992,
,LOW,Portugal,1992,
,LOW,Spain,1992,
,MED,Austria,1992,
,MED,Finland,1992,
,MED,France,1992,
,MED,Germany,1992,
,MED,Greece,1992,
,MED,Italy,1992,
,MED,Netherlands,1992,
,MED,Portugal,1992,
,MED,Spain,1992,
,PRIM,Austria,1992,
,PRIM,Finland,1992,
,PRIM,France,1992,
,PRIM,Germany,1992,
,PRIM,Greece,1992,
,PRIM,Italy,1992,
,PRIM,Netherlands,1992,
,PRIM,Portugal,1992,
,PRIM,Spain,1992,
,RES,Austria,1992,
,RES,Finland,1992,
,RES,France,1992,
,RES,Germany,1992,
,RES,Greece,1992,
,RES,Italy,1992,
,RES,Netherlands,1992,
,RES,Portugal,1992,
,RES,Spain,1992,
-84.883937975006,MED,Netherlands,2009,-55.7879926824588
-84.7461169837632,MED,Netherlands,2011,-55.6762174017082
-84.1432437408508,MED,Netherlands,2010,-55.6363479169452
-84.1294417052756,MED,Netherlands,2012,-55.618446536395
-84.1008453888131,MED,Netherlands,2003,-55.5614474569022
-84.0722708175031,MED,Netherlands,2013,-55.5685968733735
-84.0573937779626,MED,Netherlands,1995,-55.4812551949802
-84.0116616016866,MED,Netherlands,2019,-55.5151680085528
-83.9811620354132,MED,Netherlands,2008,-55.5416933228788
-83.9008852243032,MED,Netherlands,2014,-55.4545172848522
-83.8857047032662,MED,Netherlands,2018,-55.4293374847988
-83.8829313929298,MED,Netherlands,2004,-55.4125449816228
-83.8267402272813,MED,Netherlands,2017,-55.382080798197
-83.8123207070081,MED,Netherlands,1994,-55.3199030043
-83.811524012914,MED,Netherlands,2002,-55.3849731330366
-83.7297733027575,MED,Netherlands,2016,-55.3093776670398
-83.7097895845708,MED,Netherlands,1993,-55.2576580287149
-83.6716190580322,MED,Netherlands,2005,-55.2698229445032
-83.6586827653659,MED,Netherlands,2007,-55.261108500564
-83.5613337697876,MED,Netherlands,2006,-55.1963627834197
