ect_x,tech,reporter,year,ect_m
,HIGH,Austria,1992,
,HIGH,Finland,1992,
,HIGH,France,1992,
,HIGH,Germany,1992,
,HIGH,Greece,1992,
,HIGH,Italy,1992,
,HIGH,Netherlands,1992,
,HIGH,Portugal,1992,
,HIGH,Spain,1992,
,LOW,Austria,1992,
,LOW,Finland,1992,
,LOW,France,1992,
,LOW,Germany,1992,
,LOW,Greece,1992,
,LOW,Italy,1992,
,LOW,Netherlands,1992,
,LOW,Portugal,1992,
,LOW,Spain,1992,
,MED,Austria,1992,
,MED,Finland,1992,
,MED,France,1992,
,MED,Germany,1992,
,MED,Greece,1992,
,MED,Italy,1992,
,MED,Netherlands,1992,
,MED,Portugal,1992,
,MED,Spain,1992,
,PRIM,Austria,1992,
,PRIM,Finland,1992,
,PRIM,France,1992,
,PRIM,Germany,1992,
,PRIM,Greece,1992,
,PRIM,Italy,1992,
,PRIM,Netherlands,1992,
,PRIM,Portugal,1992,
,PRIM,Spain,1992,
,RES,Austria,1992,
,RES,Finland,1992,
,RES,France,1992,
,RES,Germany,1992,
,RES,Greece,1992,
,RES,Italy,1992,
,RES,Netherlands,1992,
,RES,Portugal,1992,
,RES,Spain,1992,
-52.1702785815758,HIGH,Greece,2019,-5.27263462070431
-52.1562507473176,HIGH,Greece,2018,-5.32022193990034
-52.0880486773831,HIGH,Greece,2017,-5.37148312426172
-51.9688670500838,HIGH,Greece,2016,-5.40175429696068
-51.9175818354645,HIGH,Greece,2012,-5.62666118962588
-51.8908519228656,HIGH,Greece,2015,-5.4809271947045
-51.8736774925496,HIGH,Greece,2013,-5.54877833166201
-51.86857111951,HIGH,Greece,2014,-5.53752024278052
-51.8197253884095,HIGH,Greece,2011,-5.72173145712796
-51.8090618373423,HIGH,Greece,2008,-5.66214664095173
-51.7892288189957,HIGH,Greece,2009,-5.64287889524433
-51.747797278232,HIGH,Greece,2007,-5.7472642969376
-51.7270498472051,HIGH,Greece,2010,-5.78997297913056
-51.6258860565946,HIGH,Greece,2006,-5.7715515195532
-51.5875357704961,HIGH,Greece,2004,-5.72195690432773
-51.5499306343702,HIGH,Greece,2005,-5.76911936196661
-51.5194813788405,HIGH,Greece,2003,-5.69015650800413
-51.3838082919537,HIGH,Greece,2002,-5.58478273808153
-51.2850039948428,HIGH,Greece,1999,-5.71382970276317
-51.26437606709,HIGH,Greece,2001,-5.52052475472493
