ect_x,tech,reporter,year,ect_m
,HIGH,Austria,1992,
,HIGH,Finland,1992,
,HIGH,France,1992,
,HIGH,Germany,1992,
,HIGH,Greece,1992,
,HIGH,Italy,1992,
,HIGH,Netherlands,1992,
,HIGH,Portugal,1992,
,HIGH,Spain,1992,
-41.2740010976669,HIGH,Greece,1993,11.6368768684608
-41.0825764617928,HIGH,Greece,2018,13.8658914026279
-41.0771011047133,HIGH,Greece,1995,11.9623929368093
-41.0487126140706,HIGH,Greece,1997,12.1645451752911
-41.0363870774394,HIGH,Greece,1996,12.1157066404061
-41.0185926542745,HIGH,Greece,1998,12.3571242551721
-41.0043995022054,HIGH,Greece,2019,13.9733006369601
-40.9419316984952,HIGH,Greece,2008,13.6420619956051
-40.9270007559574,HIGH,Greece,2017,13.879720377476
-40.8622345564895,HIGH,Greece,2003,13.2280266927312
-40.8388325295337,HIGH,Greece,1994,12.1267651020082
-40.8335798054795,HIGH,Greece,2016,13.806048253994
-40.8146673865616,HIGH,Greece,2009,13.7411615652931
-40.8068713115195,HIGH,Greece,2015,13.7321211406088
-40.7971566439609,HIGH,Greece,2014,13.6105874506752
-40.7934020738517,HIGH,Greece,1999,12.8568021470461
-40.7887325803719,HIGH,Greece,2012,13.6561934897647
-40.7700273820711,HIGH,Greece,2002,13.2598451278373
-40.7652484023518,HIGH,Greece,2013,13.638902432914
-40.760078619584,HIGH,Greece,2000,12.9917524096402
-40.7166264588631,HIGH,Greece,2007,13.6663638691414
-40.6775065605237,HIGH,Greece,2005,13.6020697255701
-40.6426277433584,HIGH,Greece,2011,13.6913526832458
-40.6291316654891,HIGH,Greece,2004,13.4999589094243
-40.6083668617885,HIGH,Greece,2006,13.6789972464815
-40.5604852710638,HIGH,Greece,2001,13.3970813804774
-40.5081751358292,HIGH,Greece,2010,13.7959522550124
-18.4435764674152,HIGH,Spain,2019,1.53019078674779
-18.431478261335,HIGH,Austria,2000,0.442208763447326
-18.4162004658866,HIGH,Spain,1993,1.73892907214947
-18.4002009181511,HIGH,Austria,1997,0.49797339449901
-18.3937053204782,HIGH,Spain,2008,1.63088437641087
-18.3895873181145,HIGH,Austria,1996,0.515838433126149
-18.3817947672821,HIGH,Spain,2018,1.55693685861938
-18.3660317787612,HIGH,Austria,2008,0.403357729601954
-18.3500371025003,HIGH,Spain,2009,1.63485008420579
-18.3499453921825,HIGH,Austria,2009,0.391765012175426
