reporter,year,sum,qt
Austria,1988,3652207200,173087115
Austria,1989,3575439981,199730760
Austria,1990,5068879444,203221644
Austria,1991,5118338188,201674967
Austria,1992,4824465202,181690858
Austria,1993,4660029798,194891983
Austria,1994,5380446231,216633360
Austria,1995,5773751771,188982558
Austria,1996,5983418784,204881313
Austria,1997,6632945112,215891964
Austria,1998,7399265258,251192974
Austria,1999,7186602310,222587819
Austria,2000,8852459713,283882654
Austria,2001,9246878611,305893569
Austria,2002,10806392108,298240906
Austria,2003,13247583368,348095267
Austria,2004,17363901511,200604431
Austria,2005,16176668292,367196234
Austria,2006,18530571001,390984159
Austria,2007,21843253978,471115500
Austria,2008,24060459348,449833281
Austria,2009,20799137934,323770745
Austria,2010,22675065876,293182491
Austria,2011,25793322027,443159709
Austria,2012,25592184133,456497758
Austria,2013,28299091136,498491637
Austria,2014,29466902415,500877809
Austria,2015,25003392656,516282933
Austria,2016,25100440781,533027664
Austria,2017,28131657958,549381090
Austria,2018,29236753909,555210748
Austria,2019,29109600314,552435395
Austria,2020,29088527693,533462405
Austria,2021,36320520962,567669169
Belgium,1999,19422799757,563290804
Belgium,2000,22494328037,535355860
Belgium,2001,24953865671,208809380
Belgium,2002,35764956685,178090090
Belgium,2003,42029628621,248638335
Belgium,2004,49453202192,271683652
Belgium,2005,54422580088,264512115
Belgium,2006,57607884373,284852881
Belgium,2007,69177937928,272259095
Belgium,2008,73544613261,406479574
Belgium,2009,71255494821,313349810
Belgium,2010,27552369934,522269307
Belgium,2011,29018853119,543153220
Belgium,2012,26492896718,388696982
Belgium,2013,31448365114,399141974
Belgium,2014,33834148626,393524322
Belgium,2015,28793960592,368206878
Belgium,2016,38562619231,339980951
Belgium,2017,42925363810,447906807
Belgium,2018,47758889857,483591791
Belgium,2019,55111175309,511126177
Belgium,2020,61557622684,504437451
Belgium,2021,90580615120,602890066
Finland,1988,1543830421,60827725
Finland,1989,1983556805,67507907
Finland,1990,2618575145,75430481
Finland,1991,2199381477,75329243
Finland,1992,2662057088,81355273
Finland,1993,3306543438,105790715
Finland,1994,4719611629,136095864
Finland,1995,7263005191,165325548
Finland,1996,7863037950,169328101
Finland,1997,8711698820,194673515
Finland,1998,10543057361,215031064
Finland,1999,11098118727,184354586
Finland,2000,13743601407,211787253
Finland,2001,11679146860,295104168
Finland,2002,11792971445,222053333
Finland,2003,13384436193,214561961
Finland,2004,14291461295,244558742
Finland,2005,17717355647,250319931
Finland,2006,18346887463,272135729
Finland,2007,19705656537,266647588
Finland,2008,21907163312,241641306
Finland,2009,12914371362,225569761
Finland,2010,11028830294,183386155
Finland,2011,10806648039,178560176
Finland,2012,9752599718,189370627
Finland,2013,8684474506,181234057
Finland,2014,8950283614,226888163
Finland,2015,7428545881,199344458
Finland,2016,6915210731,167878511
Finland,2017,7808639465,212874001
Finland,2018,8078445913,216979001
Finland,2019,7713890540,18747686
Finland,2020,7779218419,186263005
Finland,2021,9346427409,187090275
France,1988,23963293096,625561725
France,1989,26027713420,757386238
France,1990,31787954880,816081991
France,1991,36035920448,847885664
France,1992,39059258664,879984591
France,1993,36402062632,1015634718
France,1994,41137326480,1049647305
France,1995,52762720544,1131545756
France,1996,54694176848,1238579278
France,1997,58041614600,1321809731
France,1998,64801917408,1469862247
France,1999,65127493136,1504396882
France,2000,69620615008,1637491060
France,2001,68248383268,1633852346
France,2002,68628569955,1653131749
France,2003,76258536581,1623454463
France,2004,87131697278,1594921720
France,2005,91815756924,1611788214
France,2006,1.04437E+11,1742888886
France,2007,1.10759E+11,700344676
France,2008,1.2513E+11,836072544
France,2009,1.10943E+11,382107290
France,2010,1.27385E+11,433952930
France,2011,1.35826E+11,1575100931
France,2012,1.37262E+11,1556365671
France,2013,1.40393E+11,1567892202
France,2014,1.37896E+11,1534631713
France,2015,1.24187E+11,1540917395
France,2016,1.23295E+11,1564068596
France,2017,1.2503E+11,1578164902
France,2018,1.31248E+11,1172691779
France,2019,1.33644E+11,1590796738
France,2020,1.06194E+11,1604061502
France,2021,1.15919E+11,1624607698
Germany,1991,59972467296,1399024438
Germany,1992,62556232416,1364696175
Germany,1993,56208757152,1330525269
Germany,1994,65170081760,1498754539
Germany,1995,80115443120,1623830558
Germany,1996,78639632352,1713904690
Germany,1997,82258448960,1869306748
Germany,1998,92355920648,2042055053
Germany,1999,97434145472,4374930530
Germany,2000,1.02442E+11,2345558458
Germany,2001,1.11867E+11,2516374591
Germany,2002,1.151E+11,2643450552
Germany,2003,1.3251E+11,2637360450
Germany,2004,1.71195E+11,2829665686
Germany,2005,1.88629E+11,3117446028
Germany,2006,2.1385E+11,3406530862
Germany,2007,2.36301E+11,3472329968
Germany,2008,2.63575E+11,3963345074
Germany,2009,2.27119E+11,2570509284
Germany,2010,2.49746E+11,4037887142
Germany,2011,2.76368E+11,4350164686
Germany,2012,2.72768E+11,4403189798
Germany,2013,2.78397E+11,4124489407
Germany,2014,2.8735E+11,4003780848
Germany,2015,2.67227E+11,4111845685
Germany,2016,2.73778E+11,3816076098
Germany,2017,2.97911E+11,4136606351
Germany,2018,3.24848E+11,4256476113
Germany,2019,3.16099E+11,4243155542
Germany,2020,3.02253E+11,4155238311
Germany,2021,3.46112E+11,3743472435
Greece,1988,99965954,4823034
Greece,1989,118732209,6794240
Greece,1990,135194763,7839941
Greece,1991,167173971,9546074
Greece,1992,165865044,11899554
Greece,1993,228075021,10771928
Greece,1994,217706654,10887921
Greece,1995,291135011,11549248
Greece,1996,312254130,11157350
Greece,1997,348096821,13916570
Greece,1998,523919312,20060813
Greece,1999,623797615,20636725
Greece,2000,846505264,25525169
Greece,2001,760983349,92993247
Greece,2002,785021430,33673762
