reporter,year,sum,qt
Austria,1988,8185378819,3709623611
Austria,1989,8473622954,3745372170
Austria,1990,10794829156,3987628480
Austria,1991,10532426439,3910224058
Austria,1992,11551676749,3963061704
Austria,1993,10419509578,4072287929
Austria,1994,11385606523,4466677197
Austria,1995,13487849430,4787604838
Austria,1996,13129881421,4221001106
Austria,1997,13211027778,4809688227
Austria,1998,14776215389,6558353658
Austria,1999,13724362710,5626006885
Austria,2000,13150789955,5958832511
Austria,2001,13927976546,6462973032
Austria,2002,14661849945,6452850385
Austria,2003,18695232507,6873135316
Austria,2004,21516997260,6486093542
Austria,2005,23330154416,6846447462
Austria,2006,25468953141,7301858578
Austria,2007,31295201034,8982054966
Austria,2008,34827162687,9119430893
Austria,2009,25635677682,6704087725
Austria,2010,28000518025,7894474265
Austria,2011,32887805382,8113427875
Austria,2012,29575772360.158,7904959143.802
Austria,2013,30765812484.637,8935732728.375
Austria,2014,32369105845.901,9493078938.563
Austria,2015,27974540603.272,8156479776.427
Austria,2016,27793576782.532,9801854264.248
Austria,2017,30496267558.677,9270239532.24
Austria,2018,33769655477.275,9861605101.374
Austria,2019,31490911183.474,9439873104.412
Austria,2020,28756986542.515,8769307579.865
Austria,2021,36052112034.752,9739312642.937
Belgium,1999,28858123480,18560784706
Belgium,2000,29055285897,19865005940
Belgium,2001,28708510153,18746030588
Belgium,2002,30258844814,18703013364
Belgium,2003,36345176975,19279106091
Belgium,2004,44209272556,21791499243
Belgium,2005,46955830712,21057116201
Belgium,2006,52452699961,24131974854
Belgium,2007,64017549136,24672857115
Belgium,2008,69710258533,23492574883
Belgium,2009,51855408816,16296535316
Belgium,2010,35376643978.485,16323464750.498
Belgium,2011,40585931028.851,12355038642.699
Belgium,2012,35730862948.449,15408761927.658
Belgium,2013,35673445222.584,14962997049.2
Belgium,2014,38116174316.288,15919343699.043
Belgium,2015,32391473272.984,14307712592.331
Belgium,2016,32183493975.776,15863310372.982
Belgium,2017,35768990179.337,13441219699.17
Belgium,2018,38506105335.659,5880306062.852
Belgium,2019,35791132737.487,12949648391.448
Belgium,2020,32735600650.548,11575624305.055
Belgium,2021,41159372025.781,13934214515.586
Finland,1988,3136744643,1099197644
Finland,1989,3171985478,1109427304
Finland,1990,3390126362,1136974813
Finland,1991,3056358205,1140034258
Finland,1992,3168483477,1304412661
Finland,1993,2990364167,1576998702
Finland,1994,3811294005,1816526348
Finland,1995,4804831703,1845082379
Finland,1996,4723153622,2337845925
Finland,1997,4616135768,2306653488
Finland,1998,4638991291,2351186711
Finland,1999,4034744643,2370455243
Finland,2000,4210639818,3659101994
Finland,2001,4116152159,3697806871
Finland,2002,3801781225,3283409224
Finland,2003,4730979086,3559934790
