reporter,year,sum,qt
Austria,1988,11692563224,4078576973
Austria,1989,12463229517,4225687197
Austria,1990,16427089270,4172581621
Austria,1991,16442340075,4252913147
Austria,1992,18600986287,4247957886
Austria,1993,16654145974,4383783429
Austria,1994,18320958677,4540819087
Austria,1995,21750065249,3202922235
Austria,1996,22630964936,3413615828
Austria,1997,21576649762,4345245533
Austria,1998,22882679619,4548785091
Austria,1999,23078766156,4725011269
Austria,2000,23445116668,4400093526
Austria,2001,24393636992,4617961493
Austria,2002,26620766630,4819727354
Austria,2003,34004008346,5703175309
Austria,2004,43724272511,6499657060
Austria,2005,46790120515,6763454054
Austria,2006,53426627724,7734780742
Austria,2007,63684353589,8274494798
Austria,2008,68061348108,8023156353
Austria,2009,48740288446,5966100216
Austria,2010,53995984541,6989840749
Austria,2011,63905055603,7305512677
Austria,2012,60444547478.397,7866042721.993
Austria,2013,64356490083.039,8081105471.293
Austria,2014,65902998522.069,8088567101.124
Austria,2015,57271727012.458,7548623112.444
Austria,2016,56835260942.031,7885146767.399
Austria,2017,62597484227.701,8185060812.134
Austria,2018,67966124406.328,8707194885.23
Austria,2019,67093406936.456,8414799743.033
Austria,2020,61711331495.418,7944214993.003
Austria,2021,73765820231.186,8436587802.356
Belgium,1999,65327184806,28517778526
Belgium,2000,66207404329,22369071107
Belgium,2001,68841517167,22713896055
Belgium,2002,73440394361,24834620344
Belgium,2003,87777143612,26467366564
Belgium,2004,104863476276,28261002097
Belgium,2005,112155007284,29267105439
Belgium,2006,121345147315,30953273939
Belgium,2007,142669777332,29031861893
Belgium,2008,153453553990,28493743699
Belgium,2009,112989751996,26598925572
Belgium,2010,91158009419.044,28689178417.528
Belgium,2011,110406732089.738,28445039373.448
Belgium,2012,103340628640.535,28795185961.743
Belgium,2013,105608313213.585,28840502917.755
Belgium,2014,106623411008.129,33038645211.25
Belgium,2015,86304453867.944,25218967222.213
Belgium,2016,88627105062.602,24084190274.07
Belgium,2017,95853193142.755,24710809646.385
Belgium,2018,102049393039.94,28131894514.57
Belgium,2019,100814134624.745,27742241138.881
Belgium,2020,94593257277.317,27775565772.788
Belgium,2021,114127436395.651,26739304039.639
Finland,1988,6174738543,1194180568
Finland,1989,6828657651,882091171
Finland,1990,8087043604,1249476989
Finland,1991,6334273383,1070234244
Finland,1992,6530385483,1017859961
Finland,1993,6287732983,1272962072
Finland,1994,7551285517,1485629162
Finland,1995,10425137419,1420060008
Finland,1996,11076340960,1795024338
Finland,1997,10786526503,2018771248
Finland,1998,11106220407,2139182028
Finland,1999,10326979986,2032467925
Finland,2000,10434116058,3270488229
Finland,2001,11957395318,3699276582
Finland,2002,11785435028,3902087792
Finland,2003,14183537237,4225014051
Finland,2004,16781165431,4206270375
Finland,2005,18205941363,4234390140
Finland,2006,21886409560,5058754657
Finland,2007,26971229701,5108293120
Finland,2008,30564889039,3376038416
Finland,2009,19137630224,3482220508
Finland,2010,21532233303,5201362189
Finland,2011,23740046237,3727851541
Finland,2012,21236745343,1780366136
Finland,2013,21742000067,3191137197
Finland,2014,21252125453,3123118655
Finland,2015,17838524436,3228413684
Finland,2016,16732526515,2888236874
Finland,2017,20844265677.658,2687471944.15
Finland,2018,23366341306.042,3569191178.525
Finland,2019,24586326980.243,1706139968.721
Finland,2020,21216910061.49,2870789896.139
Finland,2021,24963769537.559,2903964357.736
France,1988,56415291292,15986638257
France,1989,60498818178,17282996745
France,1990,76874507320,17865149346
France,1991,77754304600,18533283360
France,1992,85820408297,18869762781
France,1993,74737882777,20583774763
France,1994,84204869734,19384204173
France,1995,101000138240,19657426781
France,1996,103696325374,21236209346
France,1997,101765576268,22197951867
France,1998,111083334060,23515897206
France,1999,109868627542,25105472366
France,2000,106769150032,26446523851
France,2001,108072488370,26688268137
France,2002,116135776586,27525938049
France,2003,138552986374,27783678447
France,2004,160993374898,29210049721
France,2005,166138061177,29701226673
France,2006,177865199089,30399590537
France,2007,203792524192,29330386171
France,2008,215369360730,27319334411
France,2009,159608533957,22053976504
France,2010,171731530443,20939260835
France,2011,195495223005,26680616600
France,2012,183196622282,26631900566
France,2013,186074709716,24605866280
France,2014,189238190826,25376016304
France,2015,167188001298,25312445218
France,2016,168749670367,25309334859
France,2017,183440066848.102,17358448281.765
France,2018,202619291226.018,7505048454.444
France,2019,197153704091.982,17246567480.122
France,2020,167428081867.805,23153083926.654
France,2021,200781623053.773,21659484270.013
Germany,1991,195694926664,40096493127
Germany,1992,213070388696,40407477343
Germany,1993,172769064336,39515153653
Germany,1994,198129110136,42759876934
Germany,1995,241530454208,43168407973
Germany,1996,248262397576,45858701199
Germany,1997,243209484892,49972886453
Germany,1998,261868104216,51606235394
Germany,1999,257667238752,52529955807
Germany,2000,251280362000,55363341357
Germany,2001,271472754000,58609639972
Germany,2002,298560921000,61389873303
Germany,2003,353910137000,61754171346
Germany,2004,420739563000,66876333467
Germany,2005,463599972000,72109390587
Germany,2006,522786092000,77673753749
