reporter,year,sum,qt
Austria,1988,8243262024,2126473035
Austria,1989,8994840840,2298906899
Austria,1990,11732666154,2323711443
Austria,1991,11695940136,2512839900
Austria,1992,12781412300,2537217588
Austria,1993,11353940560,2568185910
Austria,1994,13043820238,2909715197
Austria,1995,15934453469,4237198931
Austria,1996,15910388511,4433711209
Austria,1997,14915428562,4959018377
Austria,1998,15726320432,4830127691
Austria,1999,16363300777,4845556094
Austria,2000,16700119263,5480173195
Austria,2001,18041733024,6083043791
Austria,2002,20164353140,6263313365
Austria,2003,26654976890,7182186758
Austria,2004,31722691236,7711900553
Austria,2005,35599701403,8291497165
Austria,2006,42177618216,9056601131
Austria,2007,52340817880,10969537259
Austria,2008,58123969564,10688563783
Austria,2009,46234126452,9950432414
Austria,2010,49494421517,9910618431
Austria,2011,58732145216,10315693756
Austria,2012,55557522450.725,8411370232.02
Austria,2013,56083126244.817,8590723052.535
Austria,2014,58040738080.101,7231766303.126
Austria,2015,49953194498.543,7294673948.364
Austria,2016,49703222695.047,8986773697.44
Austria,2017,55609250348.502,9308706385.875
Austria,2018,57631609772.894,9129781459.022
Austria,2019,58231251286.862,9166667543.281
Austria,2020,57160381748.601,9284921942.087
Austria,2021,67469792412.9,8569897287.79
Belgium,1999,40044088510,31000607248
Belgium,2000,43811946722,35517381615
Belgium,2001,45216986035,33115755485
Belgium,2002,61610689184,41733628889
Belgium,2003,76891009488,50460134295
Belgium,2004,94523810891,58919772779
Belgium,2005,106775383643,69859443799
Belgium,2006,120455640087,76699900539
Belgium,2007,140135879946,61089713584
Belgium,2008,157665406097,98770597299
Belgium,2009,129924763290,44081870212
Belgium,2010,81666996096.786,44500036915.464
Belgium,2011,98228035370.991,45317389370.999
Belgium,2012,91020529578.081,41891311884.601
Belgium,2013,97527142697.423,42199625860.456
Belgium,2014,93554585461.358,40065863442.711
Belgium,2015,75052302883.631,41528063396.061
Belgium,2016,80784307328.25,25265944220.278
Belgium,2017,92565813798.25,44516472930.419
Belgium,2018,105333056775.245,43804078530.225
Belgium,2019,103293353922.323,41598658789.556
Belgium,2020,106165457681.075,39564510465.453
Belgium,2021,168367361855.687,37913214342.754
Finland,1988,5256724769,703019713
Finland,1989,6267844425,782557811
Finland,1990,7172223024,803236826
Finland,1991,5420314401,821852851
Finland,1992,5806662155,975238680
Finland,1993,5977304980,1293923227
Finland,1994,7513759772,1216896150
Finland,1995,9838807879,1145139830
Finland,1996,9895812881,1141181007
Finland,1997,10138829991,1573977476
Finland,1998,9821416878,1582634081
Finland,1999,8914898608,1708066042
Finland,2000,9323335823,1870351387
Finland,2001,9259054384,1837858088
