reporter,year,sum,qt
Austria,1988,7959091945,8144117974
Austria,1989,8285650583,8828669909
Austria,1990,10455158542,9696343792
Austria,1991,9795575603,9434517610
Austria,1992,10213118491,9528252377
Austria,1993,8919434346,9955007233
Austria,1994,10422357065,11432256618
Austria,1995,13339060800,11138838934
Austria,1996,12572104514,11519565200
Austria,1997,12147730744,12000739974
Austria,1998,12706270963,12406531673
Austria,1999,12964388838,13592777589
Austria,2000,11334653568,14230361517
Austria,2001,11985175620,14866197195
Austria,2002,13959170163,16165430098
Austria,2003,17847436121,17561638289
Austria,2004,21954365943,18772512413
Austria,2005,24385805754,19417473589
Austria,2006,28458484863,19680777294
Austria,2007,30348072907,22969217492
Austria,2008,32862179002,22678398454
Austria,2009,25298764311,18662819128
Austria,2010,27751449838,19960488090
Austria,2011,31488278936,20421604971
Austria,2012,29316172413.025,20003314704.714
Austria,2013,29319630927.171,15681983305.903
Austria,2014,29471402965.37,19872014130.629
Austria,2015,25208711173.739,19406562286.78
Austria,2016,24818331684.896,19038452445.682
Austria,2017,27057871126.152,20501815209.957
Austria,2018,30097291806.904,22152774620.322
Austria,2019,28634844949.458,18061186917.32
Austria,2020,27219745319.332,21494850317.837
Austria,2021,37240173603.399,21248724390.179
Belgium,1999,46323447503,60421241862
Belgium,2000,49411194871,54800607241
Belgium,2001,46695665840,57455189800
Belgium,2002,54081750927,57503112346
Belgium,2003,61924839847,62333901216
Belgium,2004,77008443401,64145852182
Belgium,2005,87578432238,65026664564
Belgium,2006,95168291689,66750381017
Belgium,2007,112928055343,68341320530
Belgium,2008,125515283332,72856914039
Belgium,2009,94783001432,66882666079
Belgium,2010,82172654998.324,61128521324.333
Belgium,2011,102892903034.92,64317129386.247
Belgium,2012,96282293749.927,64847829411.466
Belgium,2013,99340826903.425,68610571338.826
Belgium,2014,96861221597.82,64030747785.979
Belgium,2015,70623853938.866,59754460730.594
Belgium,2016,76612011504.474,53887796917.644
Belgium,2017,82052204575.046,57520400018.914
Belgium,2018,97405629732.849,55711301732.849
Belgium,2019,86223528590.023,63073101941.836
Belgium,2020,73364909895.716,62918057472.604
Belgium,2021,94213944791.78,59280816802.075
Finland,1988,10952538558,16231866815
Finland,1989,11189297450,14527488365
Finland,1990,12653475701,14579818047
Finland,1991,11612068972,15684496383
Finland,1992,11768700033,17038931299
Finland,1993,11070467375,19179834602
Finland,1994,14070412490,21682308390
Finland,1995,18011724291,21288818541
Finland,1996,16548854314,21483493429
Finland,1997,16732143135,23430996015
Finland,1998,16979533819,24757212121
Finland,1999,16656204889,25770121695
Finland,2000,17231131945,25844651617
Finland,2001,16548712748,25086859810
Finland,2002,17295708652,27799410043
Finland,2003,20415309229,28305619002
Finland,2004,23634842514,28825115062
Finland,2005,22395179935,26932773038
Finland,2006,26969903324,30755236247
Finland,2007,31087918274,31475348232
Finland,2008,32938691317,28865685022
Finland,2009,21280873861,23957952132
Finland,2010,27970852520,26345993989
Finland,2011,32368496731,26272321153
Finland,2012,30993052010,4859543313
Finland,2013,33399814471,29166246421
Finland,2014,31346835463,31659931956
Finland,2015,22992465949,24442446526
Finland,2016,23168532803,30525641477
Finland,2017,25416869187.737,26474181802.018
Finland,2018,29252582885.815,26898375425.913
Finland,2019,27414910431.5,844456078.701
Finland,2020,23346630736.929,28799686133.9
Finland,2021,31168695685.88,20456593642.696
France,1988,36389840396,48403527832
France,1989,38326438847,53659221233
France,1990,44756720750,53646551553
France,1991,44523046594,53085329433
France,1992,46980974358,53464445046
France,1993,41833709911,52006883434
France,1994,45713681897,49839245412
France,1995,55141511635,47572353838
France,1996,57503815770,51487394305
France,1997,54288750643,52388069767
France,1998,55356444786,52399666602
France,1999,55091673236,52902360275
France,2000,53969812488,59505954693
France,2001,50997864862,57556448478
France,2002,53689620363,57345068876
France,2003,64398982397,61093097403
France,2004,75959268878,64707470796
France,2005,82642116759,67862790285
France,2006,92510454404,66437885714
France,2007,102926603786,62156938816
France,2008,118729660417,65721013122
France,2009,84824727046,54802816612
France,2010,96349879539,55213483880
France,2011,117298687498,63678644810
France,2012,109899827514,61545380426
France,2013,108284739744,60029664268
France,2014,107142220703,60665614577
France,2015,88857941131,61695075729
France,2016,84351108620,60986068898
France,2017,93671309771.888,32465372862.052
France,2018,103065042510.979,12137950476.886
France,2019,95590213506.198,33008679246.356
France,2020,83800437677.598,39909951343.993
France,2021,117572889147.332,52508195037.868
Germany,1991,67067381848,72665377628
Germany,1992,70267280752,75059166824
Germany,1993,60612151016,73701616145
Germany,1994,69935799264,80318854558
Germany,1995,85201498992,79281328968
Germany,1996,83500537896,77954774850
Germany,1997,81289794348,83704632448
Germany,1998,83793181541,87324217407
Germany,1999,82923359167,90782910977
Germany,2000,83324485000,93220382503
Germany,2001,86119903000,99635123078
Germany,2002,94543382000,104890703065
Germany,2003,109768641000,102353437936
Germany,2004,134135778000,114411195064
Germany,2005,153262797000,132125302588
Germany,2006,183844264000,137057865969
Germany,2007,209897630000,133694423775
Germany,2008,236139493399.063,118167399297.498
Germany,2009,180270176813.972,91978564433.021
Germany,2010,202891434580.024,104971893278.561
Germany,2011,242925502798.249,106873625614.169
Germany,2012,231850728216.485,105830339424.346
Germany,2013,235752408790.654,105074004696.867
