"","target","period","fincome"
"1","Austria","1992",8.88121960099242
"2","Austria","1993",8.87407914309127
"3","Austria","1994",8.89806552095045
"4","Austria","1995",8.92025050979047
"5","Austria","1996",8.93580165266443
"6","Austria","1997",8.96154418739919
"7","Austria","1998",8.99059104127234
"8","Austria","1999",9.01935325341969
"9","Austria","2000",9.05694014049211
"10","Austria","2001",9.07846581176079
"11","Austria","2002",9.08675120833325
"12","Austria","2003",9.0924190992655
"13","Austria","2004",9.11435234148298
"14","Austria","2005",9.12991633077092
"15","Austria","2006",9.1608387452773
"16","Austria","2007",9.18899325496958
"17","Austria","2008",9.1923549597441
"18","Austria","2009",9.14709074785387
"19","Austria","2010",9.16813705929177
"20","Austria","2011",9.18390719347945
"21","Austria","2012",9.17410197130486
"22","Austria","2013",9.17151297026581
"23","Austria","2014",9.18529722370536
"24","Austria","2015",9.20526258179286
"25","Austria","2016",9.2234709572867
"26","Austria","2017",9.24903416748659
"27","Austria","2018",9.26588701205081
"28","Austria","2019",9.28111499253843
"29","Belgium","1992",8.87502678386247
"30","Belgium","1993",8.86838209049178
"31","Belgium","1994",8.89206282158691
"32","Belgium","1995",8.91432925580801
"33","Belgium","1996",8.93022415280547
"34","Belgium","1997",8.95535866028126
"35","Belgium","1998",8.9849782614785
"36","Belgium","1999",9.01371063970232
"37","Belgium","2000",9.05119525066408
"38","Belgium","2001",9.07283552993252
"39","Belgium","2002",9.0810540477142
"40","Belgium","2003",9.08666372430708
"41","Belgium","2004",9.10825071234292
"42","Belgium","2005",9.12374395978584
"43","Belgium","2006",9.1549934622538
"44","Belgium","2007",9.18311760198542
"45","Belgium","2008",9.18681375884416
"46","Belgium","2009",9.1407868219098
"47","Belgium","2010",9.16144154540321
"48","Belgium","2011",9.17761938178417
"49","Belgium","2012",9.16768430073166
"50","Belgium","2013",9.1648953326329
"51","Belgium","2014",9.17834650296456
"52","Belgium","2015",9.19795585950533
"53","Belgium","2016",9.21645268368108
"54","Belgium","2017",9.24229978558873
"55","Belgium","2018",9.25936266158337
"56","Belgium","2019",9.27429555425472
"57","Finland","1992",8.8951711658948
"58","Finland","1993",8.88841337855941
"59","Finland","1994",8.91212892639194
"60","Finland","1995",8.93410216796019
"61","Finland","1996",8.94952376926216
"62","Finland","1997",8.97443194519147
"63","Finland","1998",9.00320746354265
"64","Finland","1999",9.03188991280613
"65","Finland","2000",9.0689608920923
"66","Finland","2001",9.09011266303966
"67","Finland","2002",9.09848089485407
"68","Finland","2003",9.10397412852144
"69","Finland","2004",9.12570819879884
"70","Finland","2005",9.14123495844233
"71","Finland","2006",9.1720717814103
"72","Finland","2007",9.19998877862799
"73","Finland","2008",9.20362296060266
"74","Finland","2009",9.15944352530864
"75","Finland","2010",9.18017132857537
"76","Finland","2011",9.19617856529509
"77","Finland","2012",9.18703673930643
"78","Finland","2013",9.18468691792546
"79","Finland","2014",9.19859648165641
"80","Finland","2015",9.21853024323822
"81","Finland","2016",9.23658904157434
"82","Finland","2017",9.26191750607743
"83","Finland","2018",9.27913090299368
"84","Finland","2019",9.29441769884738
"85","France","1992",8.68059981679541
"86","France","1993",8.67372657321042
"87","France","1994",8.69787991259438
