"","target","period","fincome"
"1","Austria","1992",9.13495185257939
"2","Austria","1993",9.13252092851818
"3","Austria","1994",9.15962098655558
"4","Austria","1995",9.18288523537766
"5","Austria","1996",9.20007342680599
"6","Austria","1997",9.22963883298621
"7","Austria","1998",9.25932193687495
"8","Austria","1999",9.28865348938583
"9","Austria","2000",9.32697816542632
"10","Austria","2001",9.34798436002519
"11","Austria","2002",9.35842397569026
"12","Austria","2003",9.36954939677801
"13","Austria","2004",9.39243014357669
"14","Austria","2005",9.41058615081041
"15","Austria","2006",9.44026615984009
"16","Austria","2007",9.46766203618616
"17","Austria","2008",9.46967571542878
"18","Austria","2009",9.42418733965794
"19","Austria","2010",9.44670561028967
"20","Austria","2011",9.46211190021543
"21","Austria","2012",9.45665760728281
"22","Austria","2013",9.45846427594304
"23","Austria","2014",9.47581351425582
"24","Austria","2015",9.49735753342363
"25","Austria","2016",9.51656558036838
"26","Austria","2017",9.5419100033006
"27","Austria","2018",9.55892490058604
"28","Austria","2019",9.57440991137964
"29","Belgium","1992",9.1301501867617
"30","Belgium","1993",9.12812421406995
"31","Belgium","1994",9.15500298494235
"32","Belgium","1995",9.17833477356882
"33","Belgium","1996",9.19579399456333
"34","Belgium","1997",9.22491136753255
"35","Belgium","1998",9.25503465470184
"36","Belgium","1999",9.28434589245334
"37","Belgium","2000",9.32259578510403
"38","Belgium","2001",9.34368711130333
"39","Belgium","2002",9.35408509428249
"40","Belgium","2003",9.36519011882771
"41","Belgium","2004",9.38781318425135
"42","Belgium","2005",9.40592782142504
"43","Belgium","2006",9.43584901226126
"44","Belgium","2007",9.46321857803015
"45","Belgium","2008",9.46547935066486
"46","Belgium","2009",9.41941273077788
"47","Belgium","2010",9.44164213043686
"48","Belgium","2011",9.45735477393664
"49","Belgium","2012",9.45182344154868
"50","Belgium","2013",9.45350152355666
"51","Belgium","2014",9.47061978773307
"52","Belgium","2015",9.49190667618343
"53","Belgium","2016",9.51133496085477
"54","Belgium","2017",9.53688968165445
"55","Belgium","2018",9.55406181236954
"56","Belgium","2019",9.56932837273523
"57","Finland","1992",9.14579374413909
"58","Finland","1993",9.14360862080031
"59","Finland","1994",9.170465220725
"60","Finland","1995",9.19355447377364
"61","Finland","1996",9.21062553131439
"62","Finland","1997",9.23951074927596
"63","Finland","1998",9.26897958888589
"64","Finland","1999",9.29824455862596
"65","Finland","2000",9.33616723579523
"66","Finland","2001",9.35689182208756
"67","Finland","2002",9.36737565875006
"68","Finland","2003",9.37831982066566
"69","Finland","2004",9.40104105893702
"70","Finland","2005",9.41914667436781
"71","Finland","2006",9.44877237701925
"72","Finland","2007",9.47599444983773
"73","Finland","2008",9.47822636361036
"74","Finland","2009",9.43356448004561
"75","Finland","2010",9.45582724186397
"76","Finland","2011",9.47141688457011
"77","Finland","2012",9.46642403159415
"78","Finland","2013",9.46836817062916
"79","Finland","2014",9.48577636636261
"80","Finland","2015",9.5072810757161
"81","Finland","2016",9.52636730625842
"82","Finland","2017",9.55153813995166
"83","Finland","2018",9.56882134406384
"84","Finland","2019",9.58434783618351
"85","France","1992",8.98291855692897
"86","France","1993",8.98145524431311
"87","France","1994",9.00918443658195
"88","France","1995",9.03299835666127
"89","France","1996",9.0509621523406
"90","France","1997",9.08149580756486
"91","France","1998",9.11028387621359
"92","France","1999",9.13895897165257
"93","France","2000",9.17710380604501
"94","France","2001",9.19812678889879
"95","France","2002",9.20857551553282
"96","France","2003",9.22020723399939
"97","France","2004",9.24224971051243
"98","France","2005",9.2608399314395
"99","France","2006",9.29168623018011
"100","France","2007",9.32000144695816
"101","France","2008",9.3222845278359
"102","France","2009",9.273898662845
"103","France","2010",9.29690377363985
"104","France","2011",9.31150637294406
"105","France","2012",9.30476279420397
"106","France","2013",9.30575218297952
"107","France","2014",9.32429876968699
"108","France","2015",9.347517062422
"109","France","2016",9.36832526323976
"110","France","2017",9.39408907657674
"111","France","2018",9.41103518532931
"112","France","2019",9.42598032155283
"113","Germany","1992",8.88757066542063
"114","Germany","1993",8.88767851158846
"115","Germany","1994",8.91574015760311
"116","Germany","1995",8.94153330717199
"117","Germany","1996",8.96168732764061
"118","Germany","1997",8.99449896995771
"119","Germany","1998",9.0272255005914
"120","Germany","1999",9.05982522558143
"121","Germany","2000",9.10074769110546
"122","Germany","2001",9.12272361177911
"123","Germany","2002",9.1368427981069
"124","Germany","2003",9.15292214791789
"125","Germany","2004",9.17896208247114
