"","target","period","fincome"
"1","Austria","1992",11.9432188102925
"2","Austria","1993",11.9454109772395
"3","Austria","1994",11.9550896131173
"4","Austria","1995",11.9810166485319
"5","Austria","1996",12.0117423633579
"6","Austria","1997",12.0227087032412
"7","Austria","1998",12.0122135058628
"8","Austria","1999",12.0108733095304
"9","Austria","2000",12.0387424021629
"10","Austria","2001",12.043144179831
"11","Austria","2002",12.0442528018111
"12","Austria","2003",12.0597378093221
"13","Austria","2004",12.0818483951563
"14","Austria","2005",12.1002021292886
"15","Austria","2006",12.1146003079623
"16","Austria","2007",12.1297757559566
"17","Austria","2008",12.1181940082154
"18","Austria","2009",12.0608651251728
"19","Austria","2010",12.1001990510477
"20","Austria","2011",12.1012586123754
"21","Austria","2012",12.1147369384516
"22","Austria","2013",12.1341220242105
"23","Austria","2014",12.138028356675
"24","Austria","2015",12.1540120231376
"25","Austria","2016",12.1620869394215
"26","Austria","2017",12.1790884952676
"27","Austria","2018",12.1864959041598
"28","Austria","2019",12.1842589863943
"29","Belgium","1992",11.9431225084728
"30","Belgium","1993",11.9453231864291
"31","Belgium","1994",11.954995793383
"32","Belgium","1995",11.9809244437462
"33","Belgium","1996",12.0116568050397
"34","Belgium","1997",12.022612434115
"35","Belgium","1998",12.0121226015901
"36","Belgium","1999",12.0107791305116
"37","Belgium","2000",12.0386455845624
"38","Belgium","2001",12.0430476493748
"39","Belgium","2002",12.0441544243945
"40","Belgium","2003",12.0596394004099
"41","Belgium","2004",12.0817441020123
"42","Belgium","2005",12.1000969245612
"43","Belgium","2006",12.1144990019382
"44","Belgium","2007",12.1296725947495
"45","Belgium","2008",12.1180952380833
"46","Belgium","2009",12.0607514383211
"47","Belgium","2010",12.1000805132223
"48","Belgium","2011",12.1011456201611
"49","Belgium","2012",12.1146242741688
"50","Belgium","2013",12.1340083857268
"51","Belgium","2014",12.1379078332504
"52","Belgium","2015",12.1538848434706
"53","Belgium","2016",12.1619635187151
"54","Belgium","2017",12.1789690319781
"55","Belgium","2018",12.1863790562091
"56","Belgium","2019",12.1841347196457
"57","Finland","1992",11.9434379281603
"58","Finland","1993",11.9456340562595
"59","Finland","1994",11.955311601247
"60","Finland","1995",11.981234454959
"61","Finland","1996",12.01195487012
"62","Finland","1997",12.0229111761083
"63","Finland","1998",12.0124196821569
"64","Finland","1999",12.0110844343143
"65","Finland","2000",12.0389467634411
"66","Finland","2001",12.0433455669199
"67","Finland","2002",12.04445709022
"68","Finland","2003",12.0599370729079
"69","Finland","2004",12.0820441701529
"70","Finland","2005",12.1003967153196
"71","Finland","2006",12.1147966315256
"72","Finland","2007",12.1299704159098
"73","Finland","2008",12.1183965221911
"74","Finland","2009",12.0610899496234
"75","Finland","2010",12.1004140761995
"76","Finland","2011",12.1014811489162
"77","Finland","2012",12.1149661823818
"78","Finland","2013",12.1343504599947
"79","Finland","2014",12.1382612686606
"80","Finland","2015",12.1542453050566
"81","Finland","2016",12.1623199231193
"82","Finland","2017",12.1793192503185
"83","Finland","2018",12.1867354105222
"84","Finland","2019",12.1845038013909
"85","France","1992",11.9403794297477
"86","France","1993",11.942601398083
"87","France","1994",11.952241636887
"88","France","1995",11.9781858900709
"89","France","1996",12.0089631400157
"90","France","1997",12.0198943129286
"91","France","1998",12.0092671267504
"92","France","1999",12.0078225951635
"93","France","2000",12.0356561356094
"94","France","2001",12.040006484982
"95","France","2002",12.0410858242715
"96","France","2003",12.0565945236704
"97","France","2004",12.0786862934104
"98","France","2005",12.0970491404215
"99","France","2006",12.1114218532821
"100","France","2007",12.1265766625421
"101","France","2008",12.1149565538959
"102","France","2009",12.0575292604009
"103","France","2010",12.0969287690169
"104","France","2011",12.0979244757503
"105","France","2012",12.1114394580148
"106","France","2013",12.1308659330592
"107","France","2014",12.1347521296797
"108","France","2015",12.1507512985433
"109","France","2016",12.1588223688752
"110","France","2017",12.1758051859837
"111","France","2018",12.1831794121273
"112","France","2019",12.1808716443989
"113","Germany","1992",11.938803332289
"114","Germany","1993",11.9410558029192
"115","Germany","1994",11.9506731339324
"116","Germany","1995",11.9766524098985
"117","Germany","1996",12.0074838822683
"118","Germany","1997",12.018422619626
"119","Germany","1998",12.0078027371673
"120","Germany","1999",12.0063819691369
"121","Germany","2000",12.0342497662496
"122","Germany","2001",12.0385936489381
"123","Germany","2002",12.0397266846336
"124","Germany","2003",12.0553218481581
"125","Germany","2004",12.077486962696
"126","Germany","2005",12.0958972122943
"127","Germany","2006",12.1101927281229
"128","Germany","2007",12.1253095003483
"129","Germany","2008",12.1136351428019
"130","Germany","2009",12.0563246197827
"131","Germany","2010",12.0956372038212
"132","Germany","2011",12.0965162226862
"133","Germany","2012",12.1100401769381
"134","Germany","2013",12.1294929272812
"135","Germany","2014",12.1333058313143
"136","Germany","2015",12.1492921837867
"137","Germany","2016",12.1572990442236
"138","Germany","2017",12.17425249348
"139","Germany","2018",12.1816573173679
"140","Germany","2019",12.1793610735455
"141","Greece","1992",11.9433941627846
"142","Greece","1993",11.9455936781395
"143","Greece","1994",11.9552761563814
"144","Greece","1995",11.9812050299125
"145","Greece","1996",12.0119277622654
"146","Greece","1997",12.0228884467676
"147","Greece","1998",12.0124006155451
"148","Greece","1999",12.0110689936485
"149","Greece","2000",12.0389372597137
"150","Greece","2001",12.0433304395394
"151","Greece","2002",12.0444335147783
"152","Greece","2003",12.0598990269021
"153","Greece","2004",12.0820012780058
"154","Greece","2005",12.1003622549696
"155","Greece","2006",12.1147547767198
"156","Greece","2007",12.1299354628694
"157","Greece","2008",12.1183657663713
"158","Greece","2009",12.0610426380182
"159","Greece","2010",12.1004038362436
"160","Greece","2011",12.1015214339641
"161","Greece","2012",12.1150255395667
"162","Greece","2013",12.1344133675174
"163","Greece","2014",12.1383210651083
"164","Greece","2015",12.1543067677383
