reporter,year,sum,qt
Austria,1988,4986531646,159645449
Austria,1989,5517932900,180662121
Austria,1990,6912664286,203339673
Austria,1991,7294147108,213898857
Austria,1992,7489578576,193654284
Austria,1993,6890675901,198245125
Austria,1994,8077569136,234661017
Austria,1995,9147932462,222636470
Austria,1996,9232157776,241289232
Austria,1997,9849481575,284346871
Austria,1998,11207293164,331882127
Austria,1999,11595396472,318913981
Austria,2000,12426271828,349481968
Austria,2001,12162791796,367504205
Austria,2002,12529400899,354846276
Austria,2003,15274704102,346332329
Austria,2004,18882641176,380566621
Austria,2005,17976318708,408002233
Austria,2006,19291131543,420570103
Austria,2007,22530434369,463408929
Austria,2008,24201466009,447517156
Austria,2009,20812275585,363899993
Austria,2010,22362175931,400772771
Austria,2011,25252206916,468459768
Austria,2012,24613972735.545,512820852.451
Austria,2013,27079005942.995,519489428.009
Austria,2014,26722962626.206,531509048.494
Austria,2015,23723230095.677,506178027.953
Austria,2016,24408413435.688,489187815.327
Austria,2017,27000891335.337,529162822.013
Austria,2018,28859783402.604,515739323.338
Austria,2019,29307240950.592,544326901.141
Austria,2020,28288611857.619,528154830.065
Austria,2021,38303432965.691,666000056.181
Belgium,1999,20477991630,649158727
Belgium,2000,23842600615,372108000
Belgium,2001,25717618802,323534676
Belgium,2002,36428580167,636397580
Belgium,2003,43490758680,410689194
Belgium,2004,48528809049,721625359
Belgium,2005,53520876174,755786739
Belgium,2006,57313392119,788168478
Belgium,2007,66115537358,240531252
Belgium,2008,71531518027,271136264
Belgium,2009,65616804145,281186961
Belgium,2010,27950969601.453,445452888.437
Belgium,2011,29678672418.977,753760900.341
Belgium,2012,28743556270.09,690184043.396
Belgium,2013,33507165476.11,625960564.332
Belgium,2014,36548974877.975,729939482.724
Belgium,2015,30503856200.357,670720720.068
Belgium,2016,38351514545.903,536691109.116
Belgium,2017,44238546374.636,940487340.655
Belgium,2018,49173405395.795,925792469.806
Belgium,2019,58020498134.921,914663695.885
Belgium,2020,61958167014.075,955518926.595
Belgium,2021,75892018216.415,1040227411.424
Finland,1988,3056184787,82430645
Finland,1989,3548420160,97156853
Finland,1990,4049162964,93748357
Finland,1991,3385628298,80814196
Finland,1992,3371215150,83781867
Finland,1993,3279069847,86057695
Finland,1994,4591530843,109522929
Finland,1995,6238193292,119172976
Finland,1996,6465026696,129474209
Finland,1997,6445135535,141948632
Finland,1998,7608553895,162576317
Finland,1999,7743858823,151454041
Finland,2000,8507142132,162595169
Finland,2001,7828794458,166173261
Finland,2002,7405775346,174152165
Finland,2003,8527459442,171099508
Finland,2004,10190182329,192097760
Finland,2005,12695304808,207013766
Finland,2006,14104745605,221026795
Finland,2007,15340043749,228410233
Finland,2008,15988400348,231513918
Finland,2009,11612831078,183349180
Finland,2010,11094763467,212747654
Finland,2011,11939592864,223218517
Finland,2012,10683379571,227147919
Finland,2013,10549985143,209652870
Finland,2014,10981543084,231063399
Finland,2015,9870881922,234715653
Finland,2016,10302012425,256818668
Finland,2017,11166181220.814,218263708.329
Finland,2018,11649305347.236,232565668.799
Finland,2019,11248273861.297,53648656.36
Finland,2020,11173193954.457,238902389.653
Finland,2021,13224270078.253,216127167.405
France,1988,25223890900,687702822
France,1989,26700726568,699476087
France,1990,32771912008,754390460
France,1991,35137265780,804827440
France,1992,35643810352,801184768
France,1993,31700895672,886148661
France,1994,36676556260,884559428
France,1995,44880608184,1025940338
France,1996,46136307204,1129880859
France,1997,48766183136,1258087373
France,1998,55811673272,1400348158
France,1999,56062874640,1517784338
France,2000,61421688403,1747866259
France,2001,57268957089,1704759800
France,2002,56653006090,1702951569
France,2003,65729465457,1664788659
France,2004,79288394378,1832658124
France,2005,84244476944,1901144282
France,2006,94956576380,1986284549
France,2007,102468315394,468149125
France,2008,110152264225,541530427
France,2009,102628004682,402833483
France,2010,120845931649,399876036
France,2011,133427054426,2251958049
France,2012,127852748968,2036874830
France,2013,127558201871,2035858962
France,2014,128010942600,2119042554
France,2015,116140729420,2217067505
France,2016,118078729994,2177915577
France,2017,114390490016.045,1018122883.536
France,2018,114919192709.414,44371620.053
France,2019,115088410096.262,2130561012.135
France,2020,108223106244.699,2152260099.615
France,2021,122136410817.406,2493329590.429
Germany,1991,62890129704,1432559155
Germany,1992,64573005824,1399678998
Germany,1993,53488054816,1224700967
Germany,1994,62435684672,1420148478
Germany,1995,72932229120,1581305690
Germany,1996,71742050672,1615692213
Germany,1997,71953946976,1724357156
Germany,1998,86230355568,2082207095
Germany,1999,89585002448,2854123020
Germany,2000,97848465000,2385666560
Germany,2001,104471648000,2741685491
Germany,2002,107854159000,2800635696
Germany,2003,120842339000,2787264209
Germany,2004,149110286000,2928293616
Germany,2005,167087699000,3308613037
Germany,2006,194299795000,3537152992
Germany,2007,198985924000,3527234276
Germany,2008,222201356608.689,3746965021.055
Germany,2009,195697690094.049,2849608447.509
Germany,2010,229791218244.416,3080801295.387
