"";"year";"reporter";"sum"
"1";1988;"Austria";5684219796
"2";1988;"Finland";3377695104
"3";1988;"France";27863206805
"4";1989;"Austria";6238193224
"5";1989;"Finland";3916397323
"6";1989;"France";29698178073
"7";1990;"Austria";7915934985
"8";1990;"Finland";4480077843
"9";1990;"France";36674625188
"10";1991;"Austria";8249565517
"11";1991;"Finland";3784571580
"12";1991;"France";38489263348
"13";1991;"Germany";67212716640
"14";1992;"Austria";8495964980
"15";1992;"Finland";3750041210
"16";1992;"France";38809438076
"17";1992;"Germany";68980676944
"18";1993;"Austria";7809970304
"19";1993;"Finland";3573901132
"20";1993;"France";34207768925
"21";1993;"Germany";57352085856
"22";1994;"Austria";9118319504
"23";1994;"Finland";4908026451
"24";1994;"France";39448413192
"25";1994;"Germany";66384790672
"26";1995;"Austria";10653279577
"27";1995;"Finland";6569370596
"28";1995;"France";48249440745
"29";1995;"Germany";77017363200
"30";1996;"Austria";10776361918
"31";1996;"Finland";6857260943
"32";1996;"France";49339906351
"33";1996;"Germany";75884586468
"34";1997;"Austria";11106473852
"35";1997;"Finland";6812579358
"36";1997;"France";51343145201
"37";1997;"Germany";75815361350
"38";1998;"Austria";12487626787
"39";1998;"Finland";8030987390
"40";1998;"France";58632613911
"41";1998;"Germany";90796616576
"42";1999;"Austria";12793534516
"43";1999;"Belgium";21923142153
"44";1999;"Finland";8141995494
"45";1999;"France";58816700802
"46";1999;"Germany";93284520755
"47";2000;"Austria";13511700574
"48";2000;"Belgium";25249658294
"49";2000;"Finland";8774246091
"50";2000;"France";64032181215
"51";2000;"Germany";100979503000
"52";2001;"Austria";13850037777
"53";2001;"Belgium";27034562411
"54";2001;"Finland";8202843576
"55";2001;"France";59646823703
"56";2001;"Germany";108335332000
"57";2002;"Austria";14557563793
"58";2002;"Belgium";37767808288
"59";2002;"Finland";7836371327
"60";2002;"France";59182786299
"61";2002;"Germany";111687679000
"62";2003;"Austria";18071320199
"63";2003;"Belgium";45191758518
"64";2003;"Finland";9091014065
"65";2003;"France";69006795279
"66";2003;"Germany";124768522000
"67";2004;"Austria";22544620505
"68";2004;"Belgium";50661522515
"69";2004;"Finland";10789919277
"70";2004;"France";83212309007
"71";2004;"Germany";153693699000
"72";2005;"Austria";23387867936
"73";2005;"Belgium";55969153160
"74";2005;"Finland";13528905511
"75";2005;"France";87835290713
"76";2005;"Germany";172893860000
"77";2006;"Austria";25994719512
"78";2006;"Belgium";60395716656
"79";2006;"Finland";15268080842
"80";2006;"France";99042196656
"81";2006;"Germany";201072229000
"82";2007;"Austria";26662419719
"83";2007;"Belgium";68941681136
"84";2007;"Finland";16168124990
"85";2007;"France";107290273706
"86";2007;"Germany";206325436000
"87";2008;"Austria";29754697759
"88";2008;"Belgium";75553536301
"89";2008;"Finland";17249563136
"90";2008;"France";115676524486
"91";2008;"Germany";233140112050
"92";2009;"Austria";26557815719
"93";2009;"Belgium";68290251553
"94";2009;"Finland";12578531276
"95";2009;"France";107935748574
"96";2009;"Germany";207419176348
"97";2010;"Austria";26981005845
"98";2010;"Belgium";30651221875
"99";2010;"Finland";12100097048
"100";2010;"France";125268790876
"101";2010;"Germany";239315024868
"102";2011;"Austria";31467142672
"103";2011;"Belgium";33180366071
"104";2011;"Finland";13135262453
"105";2011;"France";137734482356
"106";2011;"Germany";253820391001
"107";2012;"Austria";30065239397
"108";2012;"Belgium";32664662833
"109";2012;"Finland";11868520473
"110";2012;"France";132101518013
"111";2012;"Germany";228416480333
"112";2013;"Austria";32306764462
"113";2013;"Belgium";37071665948
"114";2013;"Finland";11683022743
"115";2013;"France";131498836958
"116";2013;"Germany";227941933756
"117";2014;"Austria";31277236257
"118";2014;"Belgium";39648880960
"119";2014;"Finland";12221428330
"120";2014;"France";132146249381
"121";2014;"Germany";239916616319
"122";2015;"Austria";28296626643
"123";2015;"Belgium";33278678523
"124";2015;"Finland";10742178561
"125";2015;"France";119595013249
"126";2015;"Germany";223251764885
"127";2016;"Austria";28065334435
"128";2016;"Belgium";40624370835
"129";2016;"Finland";11214907926
"130";2016;"France";122036392364
"131";2016;"Germany";224034547095
"132";2017;"Austria";27478746943
"133";2017;"Belgium";46476553797
"134";2017;"Finland";12148633981
"135";2017;"France";117072451561
"136";2017;"Germany";243147772958
"137";2018;"Austria";30377868227
"138";2018;"Belgium";52528557794
"139";2018;"Finland";13035781276
"140";2018;"France";118384442290
"141";2018;"Germany";262145053267
"142";2019;"Austria";29578836218
"143";2019;"Belgium";60817440387
"144";2019;"Finland";12605921284
"145";2019;"France";118308663677
"146";2019;"Germany";255278883395
"147";2020;"Austria";30336837767
