reporter,year,sum,qt
Austria,1988,8013098501,1991945861
Austria,1989,8513370269,2280560993
Austria,1990,11070312439,2479992795
Austria,1991,11203762216,2665873961
Austria,1992,12030983759,2761252539
Austria,1993,11310199156,2776318941
Austria,1994,12496919397,3228545669
Austria,1995,14847016316,3443258664
Austria,1996,14879304695,3461091207
Austria,1997,13908779871,3827172682
Austria,1998,14271440604,4125357411
Austria,1999,13973907177,4046799992
Austria,2000,13598076985,4592401340
Austria,2001,14118432867,4884008669
Austria,2002,14368316992,4639011159
Austria,2003,17641734695,4891949810
Austria,2004,21069150312,4930422291
Austria,2005,22012902247,4901870779
Austria,2006,24069391836,5655496904
Austria,2007,29217673943,6930086653
Austria,2008,32597658824,6286169583
Austria,2009,26075741819,4889448947
Austria,2010,28173418665,5597543295
Austria,2011,33321725156,6061393311
Austria,2012,30239966505.928,5222225434.522
Austria,2013,31129101114.756,5252770592.611
Austria,2014,32627586044.631,6514407768.097
Austria,2015,28315090823.086,5570653980.456
Austria,2016,29628808028.254,6528063710.275
Austria,2017,32150304301.082,7519872856.957
Austria,2018,35717772464.273,7675653035.786
Austria,2019,34087799944.907,7542051526.449
Austria,2020,32253605553.541,5929219526.656
Austria,2021,40423179780.537,8237352662.938
Belgium,1999,24896175290,10769313954
Belgium,2000,24882619117,11697586794
Belgium,2001,24518738954,10649079116
Belgium,2002,25071693996,10398476858
Belgium,2003,29748510039,10776515573
Belgium,2004,36171245677,13385935594
Belgium,2005,38431159225,13004785903
Belgium,2006,43471229300,16953920103
Belgium,2007,53242256170,18677451244
Belgium,2008,58347534340,17303409081
Belgium,2009,44582821045,11550191366
Belgium,2010,32504001955.747,10593586370.964
Belgium,2011,37534845804.248,11327384334
Belgium,2012,32910835263.217,9834772537.271
Belgium,2013,34339920911.803,10288099209.73
Belgium,2014,36348092483.773,9174507540.23
Belgium,2015,29441140840.186,11071971979.206
Belgium,2016,30518022529.122,10665987521.128
Belgium,2017,32452295358.239,8626874783.134
Belgium,2018,34838471754.511,11199453204.588
Belgium,2019,32493679595.684,11617377007.609
Belgium,2020,31393095201.422,11857483781.934
Belgium,2021,38056921579.073,9523020224.919
Finland,1988,3383295977,902109220
Finland,1989,3918737498,1053802191
Finland,1990,4434251379,1055004861
Finland,1991,3614467174,821801749
Finland,1992,3269961120,828913087
Finland,1993,2649695695,872272919
Finland,1994,3403232748,1115320733
Finland,1995,4129225215,1212964142
Finland,1996,4226027484,1231799711
Finland,1997,4267105743,1471998485
Finland,1998,4434627096,1547579311
Finland,1999,4170799715,1457113288
Finland,2000,4159537254,1625403377
Finland,2001,4304664812,1607265204
Finland,2002,4359717015,1561627325
Finland,2003,5338119781,1648571303
Finland,2004,6354726480,1823908577
Finland,2005,7007689164,1834480564
Finland,2006,7825252722,2020932388
Finland,2007,9629606927,2300182574
Finland,2008,10738733217,2262220079
Finland,2009,7607196331,1456083424
Finland,2010,8516095560,1798901474
Finland,2011,9908558000,1934860339
Finland,2012,9082664147,1551551964
Finland,2013,9228157487,1829875877
Finland,2014,8940371016,1862320300
Finland,2015,7419722826,1772199187
Finland,2016,7647775754,1924520542
Finland,2017,8324793864.631,1098998143.462
Finland,2018,9103103371.333,1237048297.448
Finland,2019,8936799320.46,127456817.365
Finland,2020,8778002599.844,1300905113.001
Finland,2021,10531883162.554,2275658687.61
France,1988,32646104140,13551369731
France,1989,34878255164,14654438649
France,1990,43292698368,15641969665
France,1991,42862537116,15411689838
France,1992,45468353016,15304259707
France,1993,38125742382,14375156570
France,1994,42144315580,16404837959
France,1995,50268974995,17415610690
France,1996,49448506688,17087930952
France,1997,48472658444,19034111924
France,1998,52355095968,20740842465
France,1999,51071714276,21803634225
France,2000,51567026736,24520111140
France,2001,51122036837,22906209049
France,2002,54193855412,22790571620
France,2003,65032931886,22527447435
France,2004,77639364938,24686772187
France,2005,82192443113,23825114771
France,2006,89389567927,26170996029
France,2007,105990754483,25684138481
France,2008,116204011840,25890663353
France,2009,94256929099,17199640741
France,2010,102868136139,20969122815
France,2011,117814118525,25175013835
France,2012,107315569849,23133447369
France,2013,109721368217,22971885363
France,2014,113224129642,23520781937
France,2015,101099770354,23877939119
France,2016,102252492866,24520550470
France,2017,110994577065.17,8113482615.386
France,2018,120262331164.225,13890458471.538
France,2019,119300540824.403,7709523774.152
France,2020,112231776895.917,20419155522.86
France,2021,130908942669.9,21408789557.924
Germany,1991,78719187264,23975247714
Germany,1992,83385024616,25369521316
Germany,1993,69780175856,21770317883
Germany,1994,76451382584,25170005246
Germany,1995,88522099256,27334028066
Germany,1996,85937383968,25309708891
Germany,1997,79674085600,27117319269
Germany,1998,84349086992,28957361164
Germany,1999,80125981384,29477623995
Germany,2000,73557497000,29902896484
Germany,2001,76444581000,30890957323
Germany,2002,77624333000,29092047765
Germany,2003,89348084000,28859718659
Germany,2004,100819377000,30144400285
Germany,2005,114012953000,32668681930
Germany,2006,127165288000,37089289323
Germany,2007,146950156000,36265683545
Germany,2008,174093632039.189,21856613535.263
Germany,2009,137937277731.842,16347203777.828
Germany,2010,152149450907.478,26712371741.858
Germany,2011,182339037719.351,36176359506.352
Germany,2012,164726404985.44,34344177530.903
Germany,2013,171499861899.973,32787137781.791
Germany,2014,183209879124.617,35932276027.189
Germany,2015,164197422023.799,38314527323.844
Germany,2016,165449699224.77,37989434595.897
Germany,2017,179175858287.592,40351737944.656
Germany,2018,194148250832.203,33694736552.911
Germany,2019,185364814711.772,39643625938.342
Germany,2020,183643272587.223,31733586290.332
Germany,2021,216881180567.159,39820675117.081
Greece,1988,2126527698,966508980
Greece,1989,2882776859,1528035278
Greece,1990,3562218955,1690854136
Greece,1991,3687107088,1906920467
Greece,1992,3714034412,1178196483
Greece,1993,3391159623,1464551953
Greece,1994,3754254428,1494243798
Greece,1995,4582208803,1960436870
Greece,1996,5168897873,2586146827
Greece,1997,5137437055,2429742498
Greece,1998,5461881930,2725932227
Greece,1999,5139655188,2641079794
Greece,2000,4715985727,5673471054
Greece,2001,4623388759,3650095211
Greece,2002,4847105127,3209181839
Greece,2003,6953587884,3480986645
Greece,2004,8542808631,3965175903
Greece,2005,8861036588,3493003642
Greece,2006,10064445095,4282656996
Greece,2007,12860670763,5315162948
Greece,2008,15262758924,4110788936
Greece,2009,11304106891,3098209303
Greece,2010,9388482612,2620085011
Greece,2011,8779757617,2433142521
Greece,2012,6779954813,1959478621
