reporter,year,sum,qt
Austria,1988,13513463112,3922798901
Austria,1989,14168757396,3980016439
Austria,1990,18841295435,4278576100
Austria,1991,19365439915,4406755364
Austria,1992,21310092671,4531509390
Austria,1993,18366194519,4180991195
Austria,1994,20946958796,4686828596
Austria,1995,24608417052,4959293643
Austria,1996,25450473019,5594845245
Austria,1997,23845002832,5183584899
Austria,1998,25431460054,5608149570
Austria,1999,24766965794,5449516877
Austria,2000,24705919396,6146230979
Austria,2001,25540132973,6388260943
Austria,2002,26019819286,6263914955
Austria,2003,33461900881,6754871631
Austria,2004,40482918621,7359158332
Austria,2005,42329030566,7703264747
Austria,2006,46198112064,7975086834
Austria,2007,55716116092,8907793561
Austria,2008,59766018178,8888754177
Austria,2009,44865061773,7059467579
Austria,2010,49249558690,8011676592
Austria,2011,59351902976,8826057865
Austria,2012,54680323133.936,8264708216.1
Austria,2013,57173997229.011,8473125030.717
Austria,2014,58040012330.213,8762676080.535
Austria,2015,51265724266.656,9357675529.427
Austria,2016,54016190846.16,9703308978.405
Austria,2017,59366585897.377,10333886924.754
Austria,2018,64982754905.813,8567045171.34
Austria,2019,62746520319.472,9754717582.359
Austria,2020,57175681104.969,9270068520.906
Austria,2021,72505243067.008,10279935655.761
Belgium,1999,57041812409,22045030052
Belgium,2000,57977986733,21129962934
Belgium,2001,59972125299,20196484452
Belgium,2002,62741142179,21271530291
Belgium,2003,76156724173,22369999832
Belgium,2004,91284178668,22965653349
Belgium,2005,95397421090,24496669633
Belgium,2006,102394745521,25313907987
Belgium,2007,123394524829,23614375717
Belgium,2008,137748846618,23716703210
Belgium,2009,102013986984,21788425371
Belgium,2010,86474935793.877,17509163117.809
Belgium,2011,99515838851.152,22102158533.978
Belgium,2012,90710198854.785,20834150015.547
Belgium,2013,93022048163.282,20807054901.416
Belgium,2014,96050208287.556,21179797971.358
Belgium,2015,81658300683.558,21473743340.585
Belgium,2016,89815374917.581,20513523388.902
Belgium,2017,96411270034.639,19981965911.99
Belgium,2018,102379563359.528,23466122844.955
Belgium,2019,100205998129.078,21006953723.698
Belgium,2020,91446075667.858,17781961081.336
Belgium,2021,108624983080.863,23747952725.92
Finland,1988,8143085190,1920216659
Finland,1989,9844589846,2919812673
Finland,1990,10311872344,2257718654
Finland,1991,7540501602,1718080948
Finland,1992,7136718823,1797602159
Finland,1993,5731515804,1801281236
Finland,1994,7335635243,2061745153
Finland,1995,9513992362,2532471448
Finland,1996,9917203623,2535196887
Finland,1997,10038101804,2603045036
Finland,1998,10681426773,2784312250
Finland,1999,9949803945,2881198596
Finland,2000,9820590356,3125337035
Finland,2001,9918232202,3548331139
Finland,2002,10456816185,3886477394
Finland,2003,13081948741,3765008019
Finland,2004,15588035238,3811238804
Finland,2005,17686204500,3853083577
Finland,2006,19963203188,5278451865
Finland,2007,24177096159,5369696490
Finland,2008,27208593408,6086650685
Finland,2009,16397364664,3533137810
Finland,2010,18013840117,5131367426
Finland,2011,21870874152,4059280578
Finland,2012,19640801397,2283087283
Finland,2013,19679581578,3044230135
Finland,2014,19667069280,3646541618
Finland,2015,16797053867,3484678495
Finland,2016,17269660640,3632632417
Finland,2017,20904783582.963,1969421480.367
Finland,2018,22782092244.877,2647203618.729
Finland,2019,21885220971.069,575250219.409
Finland,2020,20578834341.388,3281310172.371
Finland,2021,25072988017.908,3384546455.662
France,1988,56607538575,24789927622
France,1989,61427093449,27182629940
France,1990,76013326141,28031334703
France,1991,73677396957,25717699621
France,1992,78118013345,25885700818
France,1993,63430097751,21796965965
France,1994,73995302643,24501183742
France,1995,89614671329,27276729203
France,1996,90360932363,26499547485
France,1997,83967616638,27083305846
France,1998,94931389093,30361351758
France,1999,96930979479,30926611148
France,2000,96909354955,33707855837
France,2001,95852983308,33321081989
France,2002,100490658107,31755056962
France,2003,119650609780,33788047943
France,2004,141500080169,35207675748
France,2005,151937663460,34885409169
France,2006,163847989640,35536118161
France,2007,197177741658,31474485697
France,2008,214471241955,31555825315
France,2009,161653435325,27233527708
France,2010,173287560671,25999734860
France,2011,206306980931,37961838817
France,2012,184978700146,36209762051
France,2013,189901802357,36096433261
France,2014,191849479678,37406263867
France,2015,173832141669,37967157419
France,2016,180832533954,39160384375
France,2017,206265681168.07,11162245509.683
France,2018,220378758765.951,12277545924.961
France,2019,218833744082.641,19103290008.756
France,2020,190399616785.697,37583757451.112
France,2021,231118068943.246,40199515092.556
Germany,1991,115752503384,31269312674
Germany,1992,121745897040,32628700981
Germany,1993,89867665760,27861256130
Germany,1994,102610650264,31983909621
Germany,1995,127818371816,33554908511
Germany,1996,129796099630,32233137055
Germany,1997,123220987576,33916983622
Germany,1998,136514069648,38505282262
Germany,1999,138573295528,38209290468
Germany,2000,132129948000,39937095883
Germany,2001,140120269000,40885990135
Germany,2002,146017336000,39631336982
Germany,2003,173926904000,40677358868
Germany,2004,201832871000,42668678198
Germany,2005,226759316000,47225231671
Germany,2006,266055394000,54052595004
Germany,2007,293507529000,53069568042
Germany,2008,342518995079.982,26841869747.072
Germany,2009,260746900187.316,20786182430.598
Germany,2010,296217048103.444,46498212755.208
Germany,2011,355414254787.926,47597783831.481
Germany,2012,327990095994.245,45387406813.764
Germany,2013,338043208054.439,46323928142.131
Germany,2014,352918803981.627,53214487822.597
Germany,2015,316935335639.731,47192961055.054
Germany,2016,332034433491.476,50328163063.033
Germany,2017,367875026284.313,43916409628.001
Germany,2018,397743992272.978,41032829862.372
Germany,2019,394370787490.341,57676531626.03
Germany,2020,363917876449.1,44648638655.135
Germany,2021,427537491249.796,48816740113.498
Greece,1988,4463078700,1620699317
Greece,1989,6125159798,2607828709
Greece,1990,7428213641,2703615539
Greece,1991,8211095312,3605892731
Greece,1992,9408868284,3320537980
Greece,1993,8420390445,2711909332
Greece,1994,7163431019,2868855058
Greece,1995,9093326938,3143001606
Greece,1996,9978757155,3919432698
Greece,1997,9239631094,3189127011
Greece,1998,10510826466,2985851632
Greece,1999,11148603783,3445920823
Greece,2000,10005004130,8950591761
Greece,2001,9171028085,4893045697
Greece,2002,11176096764,3388069302
Greece,2003,15578800935,4122800165
Greece,2004,17993791275,4492489317
Greece,2005,16284006951,3908579844
Greece,2006,19508288577,4405229517
Greece,2007,24002269349,5409364134
Greece,2008,26659328618,4457689964
Greece,2009,21861206977,3499721132
Greece,2010,15943879275,3269827436
Greece,2011,12608189142,2744779291
Greece,2012,11107105407,2538021340
Greece,2013,10746720051,2729029838
Greece,2014,12551185920,2944073560
Greece,2015,10452413595,3053431488
Greece,2016,11614163150,3365135376
Greece,2017,13660088403.041,2573319313.064
Greece,2018,13507899768.779,1691700679.49
Greece,2019,12368686488.165,1539605833.937
Greece,2020,11634124221.666,2368151687.119
Greece,2021,15478097002.914,2905511023.9
Ireland,1988,4520025803,2382360854
Ireland,1989,5310913922,2679540520
Ireland,1990,6147693867,2770837437
Ireland,1991,5810615746,2558659001
Ireland,1992,6337352044,2633304839
Ireland,1993,5350427179,2429468089
Ireland,1994,6468401871,2641810198
Ireland,1995,7815143985,3183995074
Ireland,1996,8811959791,3148526084
Ireland,1997,9757564094,3057754783
Ireland,1998,11424687871,3009367108
Ireland,1999,11172201422,3178217788
Ireland,2000,12502321297.325,3685549177.283
Ireland,2001,10958268800.21,3330734351.522
Ireland,2002,11029864976.289,3278537638.331
Ireland,2003,12544739947.265,3646477478.011
Ireland,2004,14332209637.52,3707681567.619
Ireland,2005,16382294652.337,3976869243.003
Ireland,2006,17495986586.119,4154132353.719
Ireland,2007,19929038745.627,4082706442.092
Ireland,2008,17909661362.079,4179962877.565
Ireland,2009,10619530617.615,2706104650.96
Ireland,2010,11530154479.263,3434342551.733
Ireland,2011,13383798104.042,3210880861.306
Ireland,2012,12161807358.775,3044829402.929
Ireland,2013,14366019026.45,3134634148.424
Ireland,2014,17292641746.831,1851075321.941
Ireland,2015,16957173769.238,3556869757.457
Ireland,2016,16224484628.676,3658877356.536
Ireland,2017,17260063301.165,2227470183.667
Ireland,2018,19616022794.233,4177286420.381
Ireland,2019,18715896831.935,3796751118.617
Ireland,2020,19995177755.881,4503368785.426
Ireland,2021,24130261964.25,4600969716.228
Italy,1988,40284778736,14931333660
Italy,1989,44167781500,16277063535
Italy,1990,53580572228,16898803915
Italy,1991,54884687984,17339922394
Italy,1992,59495454012,17728971959
