reporter,year,sum,qt
Austria,1988,10830008213,15443378380
Austria,1989,11651382472,15800862650
Austria,1990,15539442796,17407173375
Austria,1991,15620636455,18041834658
Austria,1992,16293023826,19195196168
Austria,1993,14573529354,18491151607
Austria,1994,16629409948,19088163190
Austria,1995,19731196671,20380397041
Austria,1996,19636773332,21728584199
Austria,1997,18250520321,17905729456
Austria,1998,18760875766,17116221767
Austria,1999,18471114539,16539780137
Austria,2000,18947798195,16251429281
Austria,2001,19894892152,17362635727
Austria,2002,20984180778,18266904580
Austria,2003,28068542126,23896193222
Austria,2004,32521376698,23710136936
Austria,2005,37658300385,25954997009
Austria,2006,44492987910,27391590559
Austria,2007,51887267337,29400267343
Austria,2008,60033783113,28173319969
Austria,2009,46109217379,27828608302
Austria,2010,52360114946,27057850692
Austria,2011,65221061751,29089906460
Austria,2012,62051666573.984,29270024569.621
Austria,2013,61388207352.003,27607795131.695
Austria,2014,60182075607.731,20621794352.547
Austria,2015,51366505661.825,26433834501.809
Austria,2016,49733472661.381,30215747252.513
Austria,2017,55656351239.758,30725213252.119
Austria,2018,62980873237.17,31959722707.425
Austria,2019,59808982563.415,32168421891.904
Austria,2020,54134699678.59,31520519958.804
Austria,2021,66634993638.444,20608717228.155
Belgium,1999,47537303114,96806482575
Belgium,2000,53556262056,96882254294
Belgium,2001,56375569675,102514014395
Belgium,2002,71357609957,103391559721
Belgium,2003,87769246979,110020942279
Belgium,2004,105010444185,118615029538
Belgium,2005,123217036842,137557977049
Belgium,2006,139183384900,149779267016
Belgium,2007,154687837548,147102060180
Belgium,2008,185610809091,156567496049
Belgium,2009,140343010165,103485140602
Belgium,2010,104469287393.741,109605298633.117
Belgium,2011,128563083414.257,54355733721.774
Belgium,2012,125357518928.888,101788403835.888
Belgium,2013,129726254067.398,97496273589.725
Belgium,2014,125714969571.939,97041229212.098
Belgium,2015,94976752587.4671,68931121673.873
Belgium,2016,95619961576.13,103405343834.158
Belgium,2017,112268902151.609,46198853099.499
Belgium,2018,129449019429.081,64652989524.513
Belgium,2019,117707362233.235,58046556056.762
Belgium,2020,107105198018.11,59809931170.538
Belgium,2021,167595376712.959,61106752993.769
Finland,1988,7100859699,18084313841
Finland,1989,8526449810,19079937060
Finland,1990,9648866440,19539350579
Finland,1991,7899456533,19224375393
Finland,1992,7520755395,17840321410
Finland,1993,6383886477,18880210013
Finland,1994,8264857752,23173036547
Finland,1995,10060381984,19235547256
Finland,1996,10487401983,20550050592
Finland,1997,10419595148,23327444714
Finland,1998,10613030197,22017413144
Finland,1999,10057379686,18547837621
Finland,2000,11098083094,24519544207
Finland,2001,11146913650,25087524172
Finland,2002,11289236438,25191565131
Finland,2003,13919273640,30154164823
Finland,2004,16917091318,27902007514
Finland,2005,19379008806,23135524905
Finland,2006,23599911304,28565206286
Finland,2007,26653560536,31902131177
Finland,2008,32984430879,31757152679
Finland,2009,20207381532,24241138585
Finland,2010,25806515484,28053308480
Finland,2011,32296518094,29349853952
Finland,2012,29628811788,4665256649
Finland,2013,30145079997,25514085281
Finland,2014,26609583861,23251704759
Finland,2015,19004557763,20379201941
Finland,2016,18960005640,22068032371
Finland,2017,21661019844.844,13177102977.035
Finland,2018,25029691175.886,15558767371.858
Finland,2019,23261056221.719,17550214.23
Finland,2020,20086907794.193,16696025815.579
Finland,2021,24731468474.842,13469837170.746
France,1988,58108432534,124000970700
France,1989,63913184407,132482199028
France,1990,78243721169,140875860061
France,1991,77773101778,149202678059
France,1992,77922650541,144799798939
France,1993,65148091689,133278222402
France,1994,73964411178,137567319617
France,1995,88700221354,135741926724
France,1996,91590121910,147577094874
France,1997,90966347735,151037849031
France,1998,94015582418,157206511428
France,1999,94445384630,154718653983
France,2000,105951424844,144202803564
France,2001,105330297391,155530709093
France,2002,105442265167,153320048757
France,2003,125361044568,159066508503
France,2004,150461987728,169434378648
France,2005,172531605477,181807637480
France,2006,199122448832,194348580780
France,2007,226506969346,202909440097
France,2008,274670512011,210351685290
France,2009,199768808215,144708235862
France,2010,214635659274,148175125888
France,2011,264546640592,159549410064
France,2012,250166300817,139764856963
France,2013,252169180409,139886836700
France,2014,237092980325,125891645937
France,2015,186043770922,122601472093
France,2016,175140661461,124058963232
France,2017,206057983268.32,60123879922.576
France,2018,224475785149.823,54542233178.001
France,2019,211749595527.708,51226180291.423
France,2020,175264433267.272,60298221596.866
France,2021,234805697356.479,74616403704.047
Germany,1991,116785524584,190810697153
Germany,1992,122212117024,207766809933
Germany,1993,100629595144,201629950928
Germany,1994,114234064680,218877911977
Germany,1995,136805409440,215556188112
Germany,1996,139104215488,235271590148
Germany,1997,136141701032,231075622860
Germany,1998,142653483268,236688601226
Germany,1999,144999534271,234874865968
Germany,2000,158617628000,239302734601
Germany,2001,166978718000,241016142429
Germany,2002,176527318000,250248803338
Germany,2003,209277744000,256695704494
Germany,2004,245666716000,267532381948
Germany,2005,292282531000,269380443837
Germany,2006,356796830000,276827860373
Germany,2007,384859679000,267630910832
Germany,2008,476942869584.792,245051755257.26
Germany,2009,355136696324.773,237584432699.839
Germany,2010,393688512355.015,247762318146.93
Germany,2011,491105629880.804,254699593103.788
Germany,2012,454803286786.699,253185438251.473
Germany,2013,460831467479.089,259747820402.554
Germany,2014,450553817174.795,262185836881.247
Germany,2015,374015652591.214,279218030644.315
Germany,2016,352233136143.239,272582674637.101
Germany,2017,391265348181.58,243929748886.32
Germany,2018,447069119831.706,270410868314.913
Germany,2019,423883209560.556,280026031890.273
Germany,2020,389959828683.437,265169177396.584
Germany,2021,525172311635.996,271833645171.286
Greece,1988,3702424424,6193431467
Greece,1989,4892436517,9484408741
Greece,1990,6060916558,10972131603
Greece,1991,6422577866,13590876043
Greece,1992,7249038845,16287107334
Greece,1993,6718915463,15716317964
Greece,1994,6748417211,16432780302
Greece,1995,8034688778,14597708986
Greece,1996,9377221417,21770773058
Greece,1997,8915537561,15179084944
Greece,1998,9378437186,21297891581
Greece,1999,9165392318,15331832593
Greece,2000,10442467166,24227393293
Greece,2001,10593194068,25745667319
Greece,2002,10341765173,23101525967
Greece,2003,14621974719,24980999188
Greece,2004,17721163357,24589201796
Greece,2005,20892946725,24941896460
Greece,2006,25105327293,24623868345
Greece,2007,28933404366,24470360308
Greece,2008,38421653179,26478319825
Greece,2009,26666496530,22966966255
Greece,2010,28215312658,25633454812
Greece,2011,30360301071,22528989874
Greece,2012,32357549767,26277884846
Greece,2013,31923731165,25614036845
Greece,2014,30005332856,25319191259
Greece,2015,20922528215,26890763705
Greece,2016,19968408069,29020855714
Greece,2017,23922023606.651,1899826939.92
Greece,2018,29714993723.102,3001702072.497
Greece,2019,27029894456.121,5448234695.578
Greece,2020,21771137169.81,28669685355.901
Greece,2021,35146869450.864,7420639853.238
Ireland,1988,5181622960,5693248457
Ireland,1989,5872102142,5850852405
Ireland,1990,6785401278,6295687843
Ireland,1991,6620433468,6045957294
Ireland,1992,6960121191,6103939236
Ireland,1993,6538940444,5517543769
Ireland,1994,7964620292,8069199591
Ireland,1995,10875231146,5892496607
Ireland,1996,12016656388,6773516841
Ireland,1997,14008081961,8605654875
Ireland,1998,16409554297,9235907223
Ireland,1999,16266880879,7521528380
Ireland,2000,18428511564.001,7767905443.649
Ireland,2001,18497210151.09,6581923763.758
Ireland,2002,16392739398.748,7779169303.161
Ireland,2003,19259383600.229,7972373841.199
Ireland,2004,21280908334.624,9656547868.942
Ireland,2005,25039438149.341,10770284993.178
Ireland,2006,28405454189.004,10453313609.883
Ireland,2007,31730074488.231,12915249373.378
Ireland,2008,30741334044.065,12344346419.082
Ireland,2009,20630016554.211,10823746678.516
Ireland,2010,20540345399.703,11193725855.785
Ireland,2011,24833763564.295,8594328970.955
Ireland,2012,23239169782.449,11094779347.915
Ireland,2013,26097342312.651,11771527815.802
Ireland,2014,26443774165.429,6637586766.856
Ireland,2015,24596869640.943,12388896847.575
Ireland,2016,22170909166.273,10602199745.952
Ireland,2017,26475726656.678,7545146135.726
Ireland,2018,33904065799.26,6152980706.398
Ireland,2019,27916903380.5,6240092831.306
Ireland,2020,30002224913.324,6743361738.345
Ireland,2021,36789156203.711,6598443004.563
Italy,1988,44862603300,96082076345
Italy,1989,49070149338,103340603478
Italy,1990,58146481288,107774730515
Italy,1991,56537557542,109128182951
Italy,1992,56491774328,109551893031
Italy,1993,45852503522,104614391898
Italy,1994,51617612298,108162162796
Italy,1995,63357008650,104486174870
Italy,1996,66642311275,109229843044
Italy,1997,65456618656,114267304001
Italy,1998,64993644154,123535118208
Italy,1999,69527406859,123578338418
Italy,2000,79077229863,129521252064
Italy,2001,75877725005,132741205947
Italy,2002,78221171061,129023998964
Italy,2003,92619375837,134473212077
Italy,2004,113108447613,142658707592
Italy,2005,128230322655,143240164755
Italy,2006,150055366417,142068442733
Italy,2007,176039641724,144021751272
Italy,2008,193773745404,136409907069
Italy,2009,184965167543,170036997260
Italy,2010,217373059053,181537558648
Italy,2011,254385164081,170226932448
Italy,2012,241779810908,165212337494
Italy,2013,224477028754,145073095393
Italy,2014,205180513505,134824451362
Italy,2015,167555057591.378,123120425395.852
Italy,2016,156094442599.856,64999106285.248
Italy,2017,179291430686.022,85867178641.895
Italy,2018,206843446983.433,150208175389.054
Italy,2019,190968286251.704,146273659387.379
Italy,2020,160314032257.905,125886990596.769
Italy,2021,234622072122.613,73046803723.712
Netherlands,1988,34617043187,113023961640
Netherlands,1989,36608063072,112962067091
Netherlands,1990,44484900326,118411692397
Netherlands,1991,43659922244,117250774312
Netherlands,1992,46409861233,122890040455
Netherlands,1993,39833179131,113601055023
Netherlands,1994,46447159861,120142863769
Netherlands,1995,56735975792,126380449998
Netherlands,1996,59984557931,127306254737
Netherlands,1997,61114084084,127212463852
Netherlands,1998,61826821738,128762858245
Netherlands,1999,66580492121,121775699201
Netherlands,2000,70482197438,129864222792
Netherlands,2001,68999465947,142325211730
Netherlands,2002,69238284572,133646203230
Netherlands,2003,85322126054,135301068597
Netherlands,2004,103037546958,130674734083
Netherlands,2005,117983750880,139888367361
Netherlands,2006,146329119184,161999256788
Netherlands,2007,146534184580,132269846694
Netherlands,2008,167128683038,126877091354
Netherlands,2009,122627915918,51057114490
Netherlands,2010,143726845931,125906333116
Netherlands,2011,187676176249.935,74624621592.058
Netherlands,2012,185802042120.895,63943530974.393
Netherlands,2013,188368457472.833,66900088087.101
Netherlands,2014,185631016025.274,42815282038.288
Netherlands,2015,137222962428.302,128319361504.585
Netherlands,2016,132508092708.797,125880238092.241
Netherlands,2017,146408664857.573,124972171897.667
Netherlands,2018,170289271451.841,129316059427.191
Netherlands,2019,168373737915.326,128146594960.186
Netherlands,2020,156429331100.951,122693199508.359
Netherlands,2021,206807223633.756,132301125332.222
Portugal,1988,6466593278,13709794191
Portugal,1989,7106134870,15769683532
Portugal,1990,9130204815,17879666152
Portugal,1991,8584194668,16522867727
Portugal,1992,9076317508,18356467056
Portugal,1993,7145621753,18248443116
Portugal,1994,8040742670,21436486859
Portugal,1995,10111591093,22723869408
Portugal,1996,10386110904,19371794655
Portugal,1997,10566910919,22757343435
Portugal,1998,10583023313,22564371543
Portugal,1999,11854403736,25296123914
Portugal,2000,12918214810,24609991170
Portugal,2001,12809128507,25097092566
Portugal,2002,12782626534,25753015281
Portugal,2003,15317520127,25526171628
Portugal,2004,19024463024,26634454362
Portugal,2005,21695775868,27144956359
Portugal,2006,25100767837,27515275333
Portugal,2007,28558937628,26591911129
Portugal,2008,35563706443,25414225717
Portugal,2009,25783688563,23483969886
Portugal,2010,27989248322,23955820814
Portugal,2011,32003940851,22683591705
Portugal,2012,30375726636,23973088725
Portugal,2013,31814858525,23798213802
Portugal,2014,31029757268,23823334425
Portugal,2015,24796794127.706,26913640552.165
Portugal,2016,22808959433.929,21898435033.975
Portugal,2017,27490477376.619,28005801293.655
Portugal,2018,33613088331.388,28543020136.612
Portugal,2019,29050740096.657,23128303615.579
Portugal,2020,25606123585.527,19609204261.82
Portugal,2021,33208926550.345,16560317200.049
Spain,1988,23763201549,64592016759
Spain,1989,27411585995,71867730885
Spain,1990,32672722986,71759946032
Spain,1991,33996133503,77546728117
Spain,1992,34359799213,86046587953
Spain,1993,27832106549,76239715675
Spain,1994,31978796082,80164715778
Spain,1995,39913813674,81007788302
Spain,1996,42990137647,83713553042
Spain,1997,44258349490,86802126214
Spain,1998,44616440243,97859210189
Spain,1999,47629148089,104301591287
Spain,2000,54566851862.921,82264077425.613
Spain,2001,55070094594.072,95405706328.342
Spain,2002,58198558043.905,25734981269.884
Spain,2003,71940567268.088,7642165137.383
Spain,2004,87976724829.426,70345531176.671
Spain,2005,104339154925.504,7383368230.104
Spain,2006,120670071962.249,31259972419.925
Spain,2007,140318372564.041,61784846374.405
Spain,2008,169645173277.818,38041419400.212
Spain,2009,116316512032.286,4384793843.889
Spain,2010,125206498624.824,4574957430.019
Spain,2011,148911036953.691,32075677875.535
Spain,2012,148206839782.943,111853272577.649
Spain,2013,147514271402.379,41321486856.258
Spain,2014,147937412656.114,43653134180.898
Spain,2015,114455226573.228,28904308831.143
Spain,2016,104382988015.123,954762548.468
Spain,2017,120996794078.226,1060286947.731
Spain,2018,138843935250.246,24251505600.796
Spain,2019,129091629511.675,316205596.435
Spain,2020,106990527961.848,399061659.682
Spain,2021,154005200432.643,28392266842.473
