reporter,year,sum,qt
Austria,1988,7269149501,17518586965
Austria,1989,7528454435,17355030084
Austria,1990,9148797037,16929556799
Austria,1991,9175227076,18607360331
Austria,1992,9542840754,17476570253
Austria,1993,8416140548,17288037315
Austria,1994,9619289221,19203688739
Austria,1995,12124028396,20631059284
Austria,1996,11874445673,21229224241
Austria,1997,10995576917,18279716662
Austria,1998,11422317751,19412119983
Austria,1999,11474938735,21459583813
Austria,2000,11792381966,23440225642
Austria,2001,12284818871,23515043809
Austria,2002,13131802230,24454980419
Austria,2003,17786241077,32256199885
Austria,2004,22037790345,34543667062
Austria,2005,25797135608,36574404505
Austria,2006,30583889086,38761674223
Austria,2007,30863535470,39277085514
Austria,2008,35592531763,37588204760
Austria,2009,27149053775,33947433620
Austria,2010,31528382946,39436629978
Austria,2011,38368546371,39956856718
Austria,2012,35513215198.791,39376968075.017
Austria,2013,34225847206.058,36083736929.673
Austria,2014,33382955918.739,34594212384.496
Austria,2015,26330374500.338,34544209772.277
Austria,2016,26002567154.596,37456185290.947
Austria,2017,28948503574.482,36381380363.81
Austria,2018,30922124482.236,30640742971.357
Austria,2019,29242172843.212,31305071958.712
Austria,2020,26804600508.978,31475540406.786
Austria,2021,38090512182.794,31944767879.998
Belgium,1999,44092265937,65984884846
Belgium,2000,48707719561,62911242599
Belgium,2001,46642817945,60127588882
Belgium,2002,50579045008,62423986885
Belgium,2003,56125160509,65497715495
Belgium,2004,74219670982,71281413861
Belgium,2005,86671559083,70787016587
Belgium,2006,96124402169,76169386546
Belgium,2007,112705228219,85198377266
Belgium,2008,123427423139,87820247604
Belgium,2009,89345895437,67753361212
Belgium,2010,81510472941.727,71183895763.515
Belgium,2011,104682907379.461,74754128450.063
Belgium,2012,95375109848.35,57319679398.449
Belgium,2013,98294047486.324,74046701002.952
Belgium,2014,94814511690.163,66420568735.365
Belgium,2015,71098494910.18,68885111662.143
Belgium,2016,77458199045.697,62382868612.42
Belgium,2017,83829794848.476,52953365677.953
Belgium,2018,98853359450.284,69063701334.631
Belgium,2019,82304691030.771,67028722149.227
Belgium,2020,73257317097.751,53653594234.824
Belgium,2021,109366193120.778,48457414078.377
Finland,1988,4305682683,13559685562
Finland,1989,4947961441,15193399424
Finland,1990,5400711946,14547782627
Finland,1991,4331079617,13389687429
Finland,1992,4824361781,15825046672
Finland,1993,4059181922,16277425113
Finland,1994,5072227181,19791129531
Finland,1995,6438954538,20244558084
Finland,1996,6313374576,19012784974
Finland,1997,6375620164,20337699339
Finland,1998,6448932040,22582614239
Finland,1999,6323232222,23799806753
Finland,2000,6696331355,20046091638
