,target,period,prices_old_alt,prices_alt,fprices_alt
1,Austria,1992,100,100,100
2,Austria,1993,104.78306547226,100.050200803213,104.78306547226
3,Austria,1994,107.048271876018,100.100401606426,107.048271876018
4,Austria,1995,111.78782305243,100.150602409639,111.78782305243
5,Austria,1996,110.662662644637,100.200803212851,110.662662644637
6,Austria,1997,108.268806949239,100.251004016064,108.268806949239
7,Austria,1998,107.93508181623,100.301204819277,107.93508181623
8,Austria,1999,108.787595323016,100.35140562249,108.787595323016
9,Austria,2000,110.591384575507,100.401606425703,110.591384575507
10,Austria,2001,111.109772813665,100.451807228916,111.109772813665
11,Austria,2002,111.266540620671,100.502008032129,111.266540620671
12,Austria,2003,111.310609209104,100.552208835341,111.310609209104
13,Austria,2004,112.588624526919,100.602409638554,112.588624526919
14,Austria,2005,114.798923503791,100.652610441767,114.798923503791
15,Austria,2006,117.629708154077,100.70281124498,117.629708154077
16,Austria,2007,119.865919210055,100.753012048193,119.865919210055
17,Austria,2008,122.949877839462,100.803212851406,122.949877839462
18,Austria,2009,119.524053244177,100.853413654619,119.524053244177
19,Austria,2010,123.067049937961,100.903614457831,123.067049937961
20,Austria,2011,128.140540153107,100.953815261044,128.140540153107
21,Austria,2012,129.856769153422,101.004016064257,129.856769153422
22,Austria,2013,129.865163465869,101.05421686747,129.865163465869
23,Austria,2014,129.686517008867,101.104417670683,129.686517008867
24,Austria,2015,129.326314899409,101.154618473896,129.326314899409
25,Austria,2016,128.762091863334,101.204819277109,128.762091863334
26,Austria,2017,130.763450081918,101.255020080321,130.763450081918
27,Austria,2018,133.041513073293,101.305220883534,133.041513073293
28,Austria,2019,132.595084195291,101.355421686747,132.595084195291
29,Belgium,1992,100,100,100
30,Belgium,1993,101.434896778399,100.050200803213,101.434896778399
31,Belgium,1994,104.870003460511,100.100401606426,104.870003460511
32,Belgium,1995,109.559166731123,100.150602409639,109.559166731123
33,Belgium,1996,106.100271215421,100.200803212851,106.100271215421
34,Belgium,1997,104.02611172232,100.251004016064,104.02611172232
35,Belgium,1998,102.490428164167,100.301204819277,102.490428164167
36,Belgium,1999,103.149237598914,100.35140562249,103.149237598914
37,Belgium,2000,109.108922062069,100.401606425703,109.108922062069
38,Belgium,2001,110.624800756303,100.451807228916,110.624800756303
39,Belgium,2002,109.341124887055,100.502008032129,109.341124887055
40,Belgium,2003,107.925469345761,100.552208835341,107.925469345761
41,Belgium,2004,110.181693371898,100.602409638554,110.181693371898
42,Belgium,2005,114.271185633804,100.652610441767,114.271185633804
43,Belgium,2006,117.228073049716,100.70281124498,117.228073049716
44,Belgium,2007,119.788766859221,100.753012048193,119.788766859221
45,Belgium,2008,124.410499878921,100.803212851406,124.410499878921
46,Belgium,2009,117.547821929793,100.853413654619,117.547821929793
47,Belgium,2010,122.927705228329,100.903614457831,122.927705228329
48,Belgium,2011,129.410067576774,100.953815261044,129.410067576774
49,Belgium,2012,133.088864866956,101.004016064257,133.088864866956
50,Belgium,2013,133.111373641991,101.05421686747,133.111373641991
51,Belgium,2014,130.575992907922,101.104417670683,130.575992907922
52,Belgium,2015,126.914391756337,101.154618473896,126.914391756337
53,Belgium,2016,125.916247378004,101.204819277109,125.916247378004
54,Belgium,2017,129.375509295556,101.255020080321,129.375509295556
55,Belgium,2018,132.147301589671,101.305220883534,132.147301589671
56,Belgium,2019,133.186149317155,101.355421686747,133.186149317155
57,Finland,1992,100,100,100
58,Finland,1993,92.3118964229253,100.050200803213,92.3118964229253
59,Finland,1994,101.217420043023,100.100401606426,101.217420043023
60,Finland,1995,115.179368223067,100.150602409639,115.179368223067
61,Finland,1996,112.206014091825,100.200803212851,112.206014091825
62,Finland,1997,110.107537260188,100.251004016064,110.107537260188
63,Finland,1998,107.11666250764,100.301204819277,107.11666250764
64,Finland,1999,102.432113191887,100.35140562249,102.432113191887
65,Finland,2000,106.009869085999,100.401606425703,106.009869085999
66,Finland,2001,104.40722515357,100.451807228916,104.40722515357
67,Finland,2002,101.455287843103,100.502008032129,101.455287843103
68,Finland,2003,99.8849564979679,100.552208835341,99.8849564979679
69,Finland,2004,99.4308563093695,100.602409638554,99.4308563093695
70,Finland,2005,100.584174241728,100.652610441767,100.584174241728
71,Finland,2006,102.849023939512,100.70281124498,102.849023939512
72,Finland,2007,103.886433330471,100.753012048193,103.886433330471
