"";"reporter";"year";"sum";"qt";"tech"
"1";"Austria";1988;8243262024;2126473035;"PRIM"
"2";"Austria";1989;8994840840;2298906899;"PRIM"
"3";"Austria";1990;11732666154;2323711443;"PRIM"
"4";"Austria";1991;11695940136;2512839900;"PRIM"
"5";"Austria";1992;12781412300;2537217588;"PRIM"
"6";"Austria";1993;11353940560;2568185910;"PRIM"
"7";"Austria";1994;13043820238;2909715197;"PRIM"
"8";"Austria";1995;15934453469;4237198931;"PRIM"
"9";"Austria";1996;15910388511;4433711209;"PRIM"
"10";"Austria";1997;14915428562;4959018377;"PRIM"
"11";"Austria";1998;15726320432;4830127691;"PRIM"
"12";"Austria";1999;16363300777;4845556094;"PRIM"
"13";"Austria";2000;16700119263;5480173195;"PRIM"
"14";"Austria";2001;18041733024;6083043791;"PRIM"
"15";"Austria";2002;20164353140;6263313365;"PRIM"
"16";"Austria";2003;26654976890;7182186758;"PRIM"
"17";"Austria";2004;31722691236;7711900553;"PRIM"
"18";"Austria";2005;35599701403;8291497165;"PRIM"
"19";"Austria";2006;42177618216;9056601131;"PRIM"
"20";"Austria";2007;52340817880;10969537259;"PRIM"
"21";"Austria";2008;58123969564;10688563783;"PRIM"
"22";"Austria";2009;46234126452;9950432414;"PRIM"
"23";"Austria";2010;49494421517;9910618431;"PRIM"
"24";"Austria";2011;58732145216;10315693756;"PRIM"
"25";"Austria";2012;55557522450,725;8411370232;"PRIM"
"26";"Austria";2013;56083126244,817;8590723052;"PRIM"
"27";"Austria";2014;58040738080,101;7231766303;"PRIM"
"28";"Austria";2015;49953194498,543;7294673948;"PRIM"
"29";"Austria";2016;49703222695,047;8986773697;"PRIM"
"30";"Austria";2017;55609250348,502;9308706385;"PRIM"
"31";"Austria";2018;57631609772,894;9129781459;"PRIM"
"32";"Austria";2019;58231251286,862;9166667543;"PRIM"
"33";"Austria";2020;57160381748,601;9284921942;"PRIM"
"34";"Austria";2021;67469792412,9;8569897287;"PRIM"
"35";"Belgium";1999;40044088510;31000607248;"PRIM"
"36";"Belgium";2000;43811946722;35517381615;"PRIM"
"37";"Belgium";2001;45216986035;33115755485;"PRIM"
"38";"Belgium";2002;61610689184;41733628889;"PRIM"
"39";"Belgium";2003;76891009488;50460134295;"PRIM"
"40";"Belgium";2004;94523810891;58919772779;"PRIM"
"41";"Belgium";2005;106775383643;69859443799;"PRIM"
"42";"Belgium";2006;120455640087;76699900539;"PRIM"
"43";"Belgium";2007;140135879946;61089713584;"PRIM"
"44";"Belgium";2008;157665406097;98770597299;"PRIM"
