"";"reporter";"year";"sum";"qt";"tech"
"1";"Austria";1988;10830008213;15443378380;"PRIM"
"2";"Austria";1989;11651382472;15800862650;"PRIM"
"3";"Austria";1990;15539442796;17407173375;"PRIM"
"4";"Austria";1991;15620636455;18041834658;"PRIM"
"5";"Austria";1992;16293023826;19195196168;"PRIM"
"6";"Austria";1993;14573529354;18491151607;"PRIM"
"7";"Austria";1994;16629409948;19088163190;"PRIM"
"8";"Austria";1995;19731196671;20380397041;"PRIM"
"9";"Austria";1996;19636773332;21728584199;"PRIM"
"10";"Austria";1997;18250520321;17905729456;"PRIM"
"11";"Austria";1998;18760875766;17116221767;"PRIM"
"12";"Austria";1999;18471114539;16539780137;"PRIM"
"13";"Austria";2000;18947798195;16251429281;"PRIM"
"14";"Austria";2001;19894892152;17362635727;"PRIM"
"15";"Austria";2002;20984180778;18266904580;"PRIM"
"16";"Austria";2003;28068542126;23896193222;"PRIM"
"17";"Austria";2004;32521376698;23710136936;"PRIM"
"18";"Austria";2005;37658300385;25954997009;"PRIM"
"19";"Austria";2006;44492987910;27391590559;"PRIM"
"20";"Austria";2007;51887267337;29400267343;"PRIM"
"21";"Austria";2008;60033783113;28173319969;"PRIM"
"22";"Austria";2009;46109217379;27828608302;"PRIM"
"23";"Austria";2010;52360114946;27057850692;"PRIM"
"24";"Austria";2011;65221061751;29089906460;"PRIM"
"25";"Austria";2012;62051666573,984;29270024569,621;"PRIM"
"26";"Austria";2013;61388207352,003;27607795131,695;"PRIM"
"27";"Austria";2014;60182075607,731;20621794352,547;"PRIM"
"28";"Austria";2015;51366505661,825;26433834501,809;"PRIM"
"29";"Austria";2016;49733472661,381;30215747252,513;"PRIM"
"30";"Austria";2017;55656351239,758;30725213252,119;"PRIM"
"31";"Austria";2018;62980873237,17;31959722707,425;"PRIM"
"32";"Austria";2019;59808982563,415;32168421891,904;"PRIM"
"33";"Austria";2020;54134699678,59;31520519958,804;"PRIM"
"34";"Austria";2021;66634993638,444;20608717228,155;"PRIM"
"35";"Belgium";1999;47537303114;96806482575;"PRIM"
"36";"Belgium";2000;53556262056;96882254294;"PRIM"
"37";"Belgium";2001;56375569675;102514014395;"PRIM"
"38";"Belgium";2002;71357609957;103391559721;"PRIM"
"39";"Belgium";2003;87769246979;110020942279;"PRIM"
"40";"Belgium";2004;105010444185;118615029538;"PRIM"
"41";"Belgium";2005;123217036842;137557977049;"PRIM"
"42";"Belgium";2006;139183384900;149779267016;"PRIM"
"43";"Belgium";2007;154687837548;147102060180;"PRIM"
"44";"Belgium";2008;185610809091;156567496049;"PRIM"
"45";"Belgium";2009;140343010165;103485140602;"PRIM"
"46";"Belgium";2010;104469287393,741;109605298633,117;"PRIM"
"47";"Belgium";2011;128563083414,257;54355733721,774;"PRIM"
"48";"Belgium";2012;125357518928,888;101788403835,888;"PRIM"
"49";"Belgium";2013;129726254067,398;97496273589,725;"PRIM"
"50";"Belgium";2014;125714969571,939;97041229212,098;"PRIM"
"51";"Belgium";2015;94976752587,4671;68931121673,873;"PRIM"
"52";"Belgium";2016;95619961576,13;103405343834,158;"PRIM"
"53";"Belgium";2017;112268902151,609;46198853099,499;"PRIM"
"54";"Belgium";2018;129449019429,081;64652989524,513;"PRIM"
"55";"Belgium";2019;117707362233,235;58046556056,762;"PRIM"
"56";"Belgium";2020;107105198018,11;59809931170,538;"PRIM"
"57";"Belgium";2021;167595376712,959;61106752993,769;"PRIM"
"58";"Finland";1988;7100859699;18084313841;"PRIM"
"59";"Finland";1989;8526449810;19079937060;"PRIM"
"60";"Finland";1990;9648866440;19539350579;"PRIM"
"61";"Finland";1991;7899456533;19224375393;"PRIM"
"62";"Finland";1992;7520755395;17840321410;"PRIM"
"63";"Finland";1993;6383886477;18880210013;"PRIM"
"64";"Finland";1994;8264857752;23173036547;"PRIM"
"65";"Finland";1995;10060381984;19235547256;"PRIM"
"66";"Finland";1996;10487401983;20550050592;"PRIM"
"67";"Finland";1997;10419595148;23327444714;"PRIM"
