"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","GG","GG","false","-2","881,874,871,792,712,542,541,525,778,776,774,771,764,761,759,752,751,718,716","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","293182491","true",,"false",,"22675065876","22675065876","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","GG","GG","false","-2","881,874,871,792,712,542,541,525,778,776,774,771,764,761,759,752,751,718,716","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","522269306.5500001","true","0","false","0","27552369933.717","27552369933.717","0","false","true",
"C","A","20100101","2010","52","2010","246","FIN","Finland","X","Export","0","W00","World","0","W00","World","GG","GG","false","-2","881,874,871,792,712,542,541,525,778,776,774,771,764,761,759,752,751,718,716","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","183386155","true",,"false",,"11028830294","11028830294","0","true","false",
"C","A","20100101","2010","52","2010","251","FRA","France","X","Export","0","W00","World","0","W00","World","GG","GG","false","-2","881,874,871,792,712,542,541,525,778,776,774,771,764,761,759,752,751,718,716","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","433952930","true",,"false",,"127384998292","127384998292","0","true","false",
"C","A","20100101","2010","52","2010","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","GG","GG","false","-2","881,874,871,792,712,542,541,525,778,776,774,771,764,761,759,752,751,718,716","0","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","4037887141.7349997","true",,"false",,"249745993727.15802","249745993727.15802","0","false","true",
"C","A","20100101","2010","52","2010","300","GRC","Greece","X","Export","0","W00","World","0","W00","World","GG","GG","false","-2","881,874,871,792,712,542,541,525,778,776,774,771,764,761,759,752,751,718,716","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","79176820","false",,"false",,"2464567552","2464567552","0","true","false",
"C","A","20100101","2010","52","2010","372","IRL","Ireland","X","Export","0","W00","World","0","W00","World","GG","GG","false","-2","881,874,871,792,712,542,541,525,778,776,774,771,764,761,759,752,751,718,716","0","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","245341072.48700002","true",,"false",,"43545936776.963","43545936776.963","0","false","true",
"C","A","20100101","2010","52","2010","380","ITA","Italy","X","Export","0","W00","World","0","W00","World","GG","GG","false","-2","881,874,871,792,712,542,541,525,778,776,774,771,764,761,759,752,751,718,716","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"true","1381692052","true","-19","true",,"46726284972","46726284972","0","false","false",
"C","A","20100101","2010","52","2010","528","NLD","Netherlands","X","Export","0","W00","World","0","W00","World","GG","GG","false","-2","881,874,871,792,712,542,541,525,778,776,774,771,764,761,759,752,751,718,716","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","351872526","true",,"false",,"98163495746","98163495746","0","true","false",
"C","A","20100101","2010","52","2010","620","PRT","Portugal","X","Export","0","W00","World","0","W00","World","GG","GG","false","-2","881,874,871,792,712,542,541,525,778,776,774,771,764,761,759,752,751,718,716","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","161960157","true",,"false",,"2922061907","2922061907","0","true","false",
