reporter,grate_exports,grate_imports,grate_income,grate_fincome,exports_c,imports_c,tl_ratio,predicted_grate,dif_rates
Austria,0.0718311132556806,0.0668208969527154,0.0180959224715585,0.0162762244000093,3.2037190796562,9.84976255508236,0.325258508694011,0.00529398047551609,0.0128019419960424
Finland,0.0438671705561699,0.0462681859471207,0.0216566801681515,0.0162427441497933,5.8045739552856,5.71733082262616,1.01525941656449,0.0164905989489254,0.00516608121922605
France,0.0506014031724183,0.053878315989947,0.015858835962563,0.0164096949860689,2.24501855613511,7.83283964128673,0.28661617739519,0.00470328404912807,0.0111555519134349
Germany,0.0652145362520168,0.0605491146853536,0.0133358599019648,0.0172062032683818,3.50127434362775,5.55509746209505,0.630281352850879,0.0108447490734229,0.00249111082854191
Greece,0.120974469167675,0.104534045128523,0.00798579820941555,0.0164391606254111,2.76306750740985,3.13876293945597,0.880304617044052,0.0144714689988782,-0.00648567078946266
Italy,0.0516334441206886,0.0475834466149448,0.00670478322233704,0.0178067130910045,2.46944684022233,5.22090121195821,0.472992447082927,0.00842244079941779,-0.00171765757708075
Netherlands,0.0700914418943185,0.065596444112025,0.0203877745980574,0.0161135165781059,3.51282373460396,5.05918222034894,0.69434615746291,0.0111883583192227,0.00919941627883468
Portugal,0.0723714257812901,0.0644079383536801,0.0137219296995759,0.0163582204770455,7.96775836437803,6.89521207045012,1.15554942806246,0.0189027323163696,-0.00518080261679371
Spain,0.0705565615655791,0.0573192718933771,0.0204058040122959,0.0159826722773167,2.40384008403519,3.86970841208915,0.621194112849816,0.00992834192627708,0.0104774620860189
TOTALS,0.068571285085093,0.062995295519743,0.0153503764717689,0.0165372388725708,3.76350249615045,5.90431081504363,0.675755802000748,0.0111384394341287,0.00718618836727066
