reporter,exports_c,imports_c,tl_ratio,grate_fincome,grate_income,predicted_grate,dif_rates
Austria,3.48590811054234,3.34403651103271,1.04242525434204,0.0162762244000093,0.0180959224715585,0.0169667473599078,0.00112917511165074
Finland,4.57424003552892,3.27096002543197,1.39843960181838,0.0162427441497933,0.0216566801681515,0.0227144966612748,-0.00105781649312331
France,2.95377098192207,3.90692905900156,0.756033943108483,0.0164096949860689,0.015858835962563,0.0124062864055252,0.00345254955703782
Germany,3.74302585402281,3.50504599671415,1.06789635786,0.0172062032683818,0.0133358599019648,0.0183744418029038,-0.00503858190093899
Greece,1.84751483377642,2.59556856712195,0.711795811206406,0.0164391606254111,0.00798579820941555,0.0117013256729169,-0.00371552746350138
Italy,3.31306842002018,4.19934153358437,0.788949503993378,0.0178067130910045,0.00670478322233704,0.0140485974609004,-0.00734381423856332
Netherlands,3.53629387197005,4.24086169013497,0.833862108777594,0.0161135165781059,0.0203877745980574,0.0134364509136421,0.0069513236844153
Portugal,3.62756146928885,3.36857509269525,1.07688306463917,0.0163582204770455,0.0137219296995759,0.0176158905993641,-0.00389396089978816
Spain,3.24550271969026,3.57443083094923,0.907977485978763,0.0159826722773167,0.0204058040122959,0.0145119065935805,0.00589389741871548
MEANS,3.36965403297354,3.55619436740735,0.953807014636024,0.0165372388725708,0.0153503764717689,0.0157529048300017,0.00427518297419272
