df1,df2,stat,prob,unit,test
2,22,57.3440453643969,1.87763874732703e-09,PRIM-imp-Austria,Weak-IV
1,22,2.25222816108987,0.147638567916225,PRIM-imp-Austria,Wu-Hausman
1,,3.7592632147745,0.0525157143528204,PRIM-imp-Austria,Sargan
2,22,121.307643788593,1.31185322721218e-12,PRIM-imp-Finland,Weak-IV
1,22,0.0715893330069729,0.791529035359148,PRIM-imp-Finland,Wu-Hausman
1,,3.61386542601712,0.0572997931244369,PRIM-imp-Finland,Sargan
2,22,39.6232533048389,5.09881163795661e-08,PRIM-imp-France,Weak-IV
1,22,0.304263323024679,0.586781671800946,PRIM-imp-France,Wu-Hausman
1,,5.30757352024533,0.0212329092709206,PRIM-imp-France,Sargan
2,22,52.8158820670617,3.99119544864854e-09,PRIM-imp-Germany,Weak-IV
1,22,1.63287154166855,0.214625792296587,PRIM-imp-Germany,Wu-Hausman
1,,0.362194923308637,0.54728975115349,PRIM-imp-Germany,Sargan
2,22,120.175378809671,1.44192920903047e-12,PRIM-imp-Greece,Weak-IV
1,22,0.000709868790733572,0.978984393926327,PRIM-imp-Greece,Wu-Hausman
1,,4.51616752210581,0.0335759631051636,PRIM-imp-Greece,Sargan
2,22,172.70913940875,3.5471630100454e-14,PRIM-imp-Italy,Weak-IV
1,22,1.86605987698957,0.185729824352446,PRIM-imp-Italy,Wu-Hausman
1,,0.698086754124952,0.403427320297067,PRIM-imp-Italy,Sargan
2,22,67.3409990478398,4.18253298850311e-10,PRIM-imp-Netherlands,Weak-IV
1,22,0.000255552687103516,0.987389640138633,PRIM-imp-Netherlands,Wu-Hausman
1,,8.71745176957144,0.00315178266892667,PRIM-imp-Netherlands,Sargan
2,22,84.2028911611412,4.89968347593266e-11,PRIM-imp-Portugal,Weak-IV
1,22,1.14681157360494,0.295825974755307,PRIM-imp-Portugal,Wu-Hausman
1,,6.75730595144837,0.00933646123415461,PRIM-imp-Portugal,Sargan
2,22,107.976591454242,4.21932313438725e-12,PRIM-imp-Spain,Weak-IV
1,22,0.11654601905865,0.736050403678071,PRIM-imp-Spain,Wu-Hausman
1,,7.69579485470235,0.00553496290446464,PRIM-imp-Spain,Sargan
2,22,60.9823113859388,1.06129439202976e-09,RES-imp-Austria,Weak-IV
1,22,9.44241551475844,0.00556708310363861,RES-imp-Austria,Wu-Hausman
1,,0.854892154082164,0.355172044943059,RES-imp-Austria,Sargan
2,22,120.196154006638,1.4394195377525e-12,RES-imp-Finland,Weak-IV
1,22,0.0423081107624172,0.83892501328459,RES-imp-Finland,Wu-Hausman
1,,2.8364018186138,0.092150354787022,RES-imp-Finland,Sargan
2,22,40.5795390986792,4.15018550168038e-08,RES-imp-France,Weak-IV
1,22,0.0881788685561736,0.769290810768932,RES-imp-France,Wu-Hausman
1,,7.16952790156553,0.00741522866940269,RES-imp-France,Sargan
2,22,59.1173405914517,1.41657555336504e-09,RES-imp-Germany,Weak-IV
1,22,0.806796143023441,0.378794802842402,RES-imp-Germany,Wu-Hausman
1,,8.26868464068875e-05,0.992744751521515,RES-imp-Germany,Sargan
2,22,86.6845853179875,3.6917571730733e-11,RES-imp-Greece,Weak-IV
1,22,0.165390082558357,0.688170986106057,RES-imp-Greece,Wu-Hausman
1,,2.23221706035874,0.135159782240024,RES-imp-Greece,Sargan
2,22,195.442906817848,9.82923947187723e-15,RES-imp-Italy,Weak-IV
1,22,0.421544420269202,0.522888636884403,RES-imp-Italy,Wu-Hausman
1,,8.96370434242226,0.00275395933300761,RES-imp-Italy,Sargan
2,22,53.1234261892925,3.78560787128013e-09,RES-imp-Netherlands,Weak-IV
1,22,0.00982927397933222,0.921922820652846,RES-imp-Netherlands,Wu-Hausman
1,,13.947445775557,0.00018799291135614,RES-imp-Netherlands,Sargan
2,22,86.0189978345258,3.98010848920502e-11,RES-imp-Portugal,Weak-IV
